factor num_snp_fdr<0.2 num_snp_noMHC pval_in_fitting slope_in_fitting rsq_in_fitting pval_in_resampling
mchc_pwy240_pc5 2 2 0.085 -0.136 0.982 0.22
mchc_pwy268_pc3 2 2 0.018 0.056 0.999 0.041
mchc_pwy26_pc1 2 2 0.032 -0.155 0.997 0.072
mchc_pwy294_pc5 2 2 0.136 -0.038 0.955 0.332
mchc_pwy29_pc5 2 2 0.927 -0.011 0.013 0.819
mchc_pwy304_pc2 2 2 0.065 -0.097 0.99 0.093
mchc_pwy312_pc5 2 2 0.125 0.067 0.962 0.304
mchc_pwy40_pc3 2 2 0.205 -0.116 0.9 0.363
mchc_pwy42_pc5 2 2 0.185 -0.141 0.918 0.412
mchc_pwy87_pc1 2 2 0.35 0.142 0.727 0.492
mchc_pwy89_pc4 3 3 0.032 0.064 0.936 0.137
mcv_pwy105_pc1 3 3 0.344 0.076 0.43 0.285
mcv_pwy105_pc2 2 2 0.964 0.005 0.003 0.922
mcv_pwy119_pc1 2 2 0.182 -0.053 0.92 0.353
mcv_pwy127_pc5 3 3 0.382 -0.06 0.382 0.29
mcv_pwy133_pc4 3 3 0.473 0.04 0.278 0.382
mcv_pwy149_pc4 4 4 0.746 -0.013 0.04 0.761
mcv_pwy155_pc5 2 2 0.156 -0.065 0.941 0.304
mcv_pwy156_pc4 2 2 0.782 0.015 0.113 0.655
mcv_pwy184_pc2 2 2 0.203 -0.131 0.902 0.325
mcv_pwy227_pc4 2 2 0.88 -0.021 0.035 0.777
mcv_pwy245_pc4 3 3 0.745 0.018 0.065 0.714
mcv_pwy248_pc3 2 2 0.027 -0.068 0.998 0.07
mcv_pwy251_pc3 2 2 0.034 -0.079 0.997 0.079
mcv_pwy253_pc3 2 2 0.632 -0.033 0.298 0.589
mcv_pwy254_pc2 2 2 0.823 -0.023 0.075 0.749
mcv_pwy264_pc1 2 2 0.076 0.094 0.986 0.166
mcv_pwy26_pc1 2 2 0.23 -0.162 0.875 0.382
mcv_pwy282_pc4 3 3 0.774 0.009 0.051 0.753
mcv_pwy285_pc3 2 2 0.256 0.135 0.847 0.407
mcv_pwy304_pc4 2 2 0.276 0.09 0.824 0.443
mcv_pwy308_pc5 2 2 0.304 0.117 0.789 0.455
mcv_pwy310_pc5 2 2 0.572 -0.045 0.387 0.538
mcv_pwy316_pc5 2 2 0.288 0.076 0.809 0.448
mcv_pwy31_pc2 2 2 0.667 -0.027 0.25 0.59
mcv_pwy320_pc4 2 2 0.018 -0.064 0.999 0.039
mcv_pwy330_pc2 2 2 0.737 -0.051 0.162 0.564
mcv_pwy35_pc3 2 2 0.108 -0.102 0.971 0.229
mcv_pwy42_pc5 3 3 0.877 -0.02 0.015 0.904
mcv_pwy45_pc5 2 2 0.307 0.123 0.785 0.458
mcv_pwy56_pc2 2 2 0.06 0.082 0.991 0.109
mcv_pwy77_pc1 2 2 0.77 -0.024 0.125 0.647
mcv_pwy79_pc3 2 2 0.078 -0.087 0.985 0.146
mcv_pwy90_pc5 2 2 0.921 -0.014 0.015 0.888
mono_pwy10_pc5 2 2 0.883 0.017 0.034 0.818
mono_pwy113_pc4 5 5 0.883 0.005 0.006 0.904
mono_pwy114_pc4 2 2 0.853 -0.008 0.052 0.743
mono_pwy124_pc5 3 3 0.973 -0.002 0.001 0.979
mono_pwy133_pc2 2 2 0.008 0.083 1 0.021
mono_pwy134_pc5 2 2 0.992 -0.001 0 0.978
mono_pwy140_pc4 2 2 0.001 -0.051 1 0
mono_pwy145_pc5 2 2 0.042 0.044 0.996 0.1
mono_pwy160_pc2 2 2 0.822 0.017 0.076 0.712
mono_pwy162_pc3 2 2 0.014 -0.063 1 0.04
mono_pwy165_pc4 2 2 0.836 -0.009 0.065 0.728
mono_pwy166_pc5 2 2 0.648 0.058 0.275 0.601
mono_pwy168_pc5 2 2 0.849 -0.016 0.055 0.742
mono_pwy171_pc3 2 2 0.013 -0.073 1 0.02
mono_pwy173_pc5 2 2 0.036 0.051 0.997 0.087
mono_pwy175_pc5 2 2 0.789 -0.041 0.106 0.625
mono_pwy178_pc3 2 2 0.024 -0.051 0.999 0.047
mono_pwy187_pc4 3 3 0.84 0.008 0.026 0.847
mono_pwy197_pc3 2 2 0.85 -0.017 0.054 0.742
mono_pwy1_pc1 2 2 0.068 0.101 0.989 0.131
mono_pwy200_pc4 2 2 0.849 0.012 0.055 0.742
mono_pwy201_pc3 2 2 0.725 -0.027 0.175 0.653
mono_pwy202_pc3 2 2 0.023 0.053 0.999 0.061
mono_pwy203_pc2 2 2 0.963 0.005 0.003 0.945
mono_pwy205_pc4 3 3 0.354 0.025 0.418 0.341
mono_pwy211_pc4 2 2 0.874 0.01 0.039 0.773
