factor num_snp_fdr<0.2 num_snp_noMHC pval_in_fitting slope_in_fitting rsq_in_fitting pval_in_resampling
hct_pwy139_pc4 2 2 0.781 0.009 0.114 0.608
hct_pwy145_pc2 2 2 0.598 0.05 0.348 0.551
hct_pwy149_pc2 2 2 0.021 0.068 0.999 0.065
hct_pwy14_pc2 2 2 0.963 0.005 0.003 0.92
hct_pwy154_pc2 2 2 0.028 0.101 0.998 0.05
hct_pwy157_pc3 2 2 0.64 0.083 0.287 0.51
hct_pwy164_pc4 2 2 0.112 0.098 0.969 0.28
hct_pwy171_pc4 2 2 0.771 0.018 0.124 0.604
hct_pwy175_pc4 2 2 0.001 0.103 1 0.001
hct_pwy181_pc2 3 3 0.964 0.002 0.001 0.974
hct_pwy190_pc3 2 2 0.143 -0.107 0.95 0.23
hct_pwy202_pc3 2 2 0.66 -0.023 0.26 0.561
hct_pwy213_pc5 3 3 0.796 0.017 0.042 0.779
hct_pwy217_pc4 2 2 0.904 -0.011 0.023 0.921
hct_pwy218_pc5 2 2 0.034 0.066 0.997 0.022
hct_pwy221_pc4 2 2 0.629 0.039 0.302 0.517
hct_pwy229_pc4 3 3 0.95 -0.006 0.002 0.928
hct_pwy250_pc3 2 2 0.867 0.022 0.043 0.695
hct_pwy254_pc2 3 3 0.997 0 0 0.998
hct_pwy267_pc5 2 2 0.051 -0.065 0.993 0.058
hct_pwy276_pc5 2 2 0.109 -0.044 0.971 0.09
hct_pwy286_pc5 2 2 0.108 -0.034 0.971 0.09
hct_pwy301_pc4 2 2 0.324 -0.091 0.762 0.483
hct_pwy304_pc5 3 3 0.003 -0.071 0.995 0.036
hct_pwy315_pc4 2 2 0.772 0.039 0.123 0.572
hct_pwy316_pc2 2 2 0.715 0.052 0.187 0.541
hct_pwy319_pc5 3 3 0.996 0 0 0.997
hct_pwy32_pc2 2 2 0.021 0.109 0.999 0.076
hct_pwy332_pc5 2 2 0.641 0.062 0.286 0.515
hct_pwy48_pc3 2 2 0.312 -0.311 0.779 0.462
hct_pwy50_pc4 2 2 0.852 -0.021 0.053 0.644
hct_pwy83_pc5 3 3 0.484 -0.046 0.266 0.443
hct_pwy88_pc5 2 2 0.14 -0.129 0.952 0.244
hct_pwy89_pc4 3 3 0.363 -0.079 0.405 0.255
hgb_pwy109_pc4 2 2 0.592 0.095 0.358 0.524
hgb_pwy112_pc2 2 2 0.311 0.178 0.779 0.479
hgb_pwy131_pc1 2 2 0.012 -0.07 1 0.022
hgb_pwy135_pc4 3 3 0.841 0.012 0.025 0.911
hgb_pwy136_pc4 2 2 0.9 -0.007 0.024 0.696
hgb_pwy139_pc4 2 2 0.804 0.008 0.092 0.629
hgb_pwy145_pc2 2 2 0.515 0.071 0.477 0.522
hgb_pwy146_pc5 2 2 0.095 0.058 0.978 0.077
hgb_pwy149_pc2 2 2 0 0.067 1 0.001
hgb_pwy14_pc2 2 2 0.946 0.007 0.007 0.85
hgb_pwy157_pc3 2 2 0.653 0.077 0.268 0.512
hgb_pwy161_pc1 2 2 0.033 0.098 0.997 0.118
hgb_pwy163_pc5 2 2 0.88 -0.01 0.035 0.715
hgb_pwy168_pc4 2 2 0.115 -0.121 0.968 0.203
hgb_pwy170_pc2 2 2 0.338 0.041 0.744 0.252
hgb_pwy187_pc4 2 2 0.592 -0.033 0.357 0.612
hgb_pwy189_pc5 2 2 0.169 -0.082 0.931 0.372
hgb_pwy191_pc5 2 2 0.722 -0.051 0.179 0.532
hgb_pwy204_pc4 2 2 0.243 0.19 0.861 0.444
hgb_pwy217_pc4 3 3 0.95 -0.003 0.002 0.917
hgb_pwy218_pc5 2 2 0.582 0.038 0.372 0.55
hgb_pwy221_pc4 2 2 0.643 0.035 0.282 0.523
hgb_pwy221_pc5 2 2 0.905 -0.011 0.022 0.917
