factor num_snp_fdr<0.2 num_snp_noMHC pval_in_fitting slope_in_fitting pval_in_resampling IVW_estimate IVW_pval IVW_resampling_pval
eo_pwy325_pc4 9 0 0.081 0.042 0.081 0.047512806396679 0.0302329234166013 0.054
eo_pwy325_pc5 7 0 0.077 -0.103 0.083 -0.112548904414903 0.0226337238253226 0.072
eo_pwy326_pc4 9 0 0.082 -0.039 0.08 -0.0441374667900141 0.0303095563342176 0.053
eo_pwy329_pc4 2 2 0.036 0.199 0.07 0.193206340638333 1.73156510180079e-19 0.482
eo_pwy329_pc5 2 0 0.295 0.647 0.441 0.608347830020305 6.46919133697072e-99 0.083
eo_pwy331_pc4 3 0 0.485 -0.12 0.393 -0.139579564527566 2.4016854917276e-17 0.436
eo_pwy331_pc5 2 0 0.032 0.217 0.045 0.213941808063396 5.59149660850381e-27 0.376
eo_pwy54_pc3 2 2 0.086 -0.332 0.102 -0.344095695349256 9.5090068387962e-61 0.122
eo_pwy60_pc3 2 2 0.302 0.121 0.467 0.0922272367364347 2.35628022226017e-21 0.462
eo_pwy69_pc1 2 2 0.037 0.376 0.072 0.381487891577967 4.09318986179345e-34 0.15
EUR.CD_pwy101_pc2 3 3 0.969 -0.069 0.97 -1.04390892924192 6.96521036261421e-09 0.593
EUR.CD_pwy107_pc1 2 2 0.026 -2.42 0.042 -2.3739896074285 1.02415695302488e-22 0.273
EUR.CD_pwy114_pc3 2 2 0.579 -1.108 0.474 -0.361835817037923 0.0357834418105134 0.725
EUR.CD_pwy115_pc4 4 4 0.38 -0.779 0.472 -0.889899955899799 0.213217965818408 0.345
EUR.CD_pwy143_pc4 2 2 0.818 -0.507 0.674 0.124766816608061 0.55935102450991 0.968
EUR.CD_pwy165_pc1 2 2 0.861 0.682 0.671 0.85571332398073 0.000202117055513569 0.637
EUR.CD_pwy167_pc2 4 0 0.001 1.076 0.001 1.21186590575449 1.3342691806684e-27 0.001
EUR.CD_pwy168_pc4 3 3 0.017 -2.093 0.079 -2.12096521647304 4.66975011175241e-39 0.316
EUR.CD_pwy183_pc2 2 0 0.01 2.35 0.006 2.30850237680122 6.48198759729232e-23 0.221
EUR.CD_pwy187_pc1 2 2 0.991 -0.028 0.985 0.115157996698147 0.598928133758979 0.934
EUR.CD_pwy192_pc4 2 0 0.041 1.256 0.082 1.25721448863903 5.29991188569496e-20 0.491
EUR.CD_pwy198_pc1 2 2 0.837 -0.642 0.706 0.0970457119867635 0.707780052950664 0.969
EUR.CD_pwy20_pc3 2 2 0.431 2.358 0.444 1.03876745756409 9.99822655141112e-08 0.563
EUR.CD_pwy211_pc1 2 2 0.93 0.187 0.856 -0.0064039300853709 0.97435002991055 0.996
EUR.CD_pwy224_pc3 2 2 0.055 -1.236 0.031 -1.35310336803942 1.15742649483708e-18 0.22
EUR.CD_pwy231_pc5 2 2 0.965 0.131 0.905 0.141357340223501 0.455277751937061 0.888
EUR.CD_pwy238_pc2 2 2 0.011 -1.044 0 -1.06217571040147 7.98394088075637e-22 0.232
EUR.CD_pwy238_pc5 3 0 0.107 -1.061 0.071 -0.481934946672492 2.48506977434766e-11 0.582
EUR.CD_pwy252_pc1 2 2 0.324 4.196 0.356 0.642352646307923 0.00902020094115896 0.944
EUR.CD_pwy261_pc5 2 2 0.209 4.285 0.353 3.24762038708179 1.97962505205886e-52 0.052
EUR.CD_pwy269_pc2 2 2 0.926 0.354 0.807 0.775612451338052 0.00700418213350699 0.681
EUR.CD_pwy278_pc2 2 2 0.802 0.587 0.685 0.207412290678072 0.348020832413771 0.874
EUR.CD_pwy282_pc3 2 2 0.737 -0.781 0.682 0.35754377029401 0.110626559280378 0.855
EUR.CD_pwy285_pc1 2 2 0.723 0.968 0.649 -0.0772617040662691 0.787725710289847 0.973
EUR.CD_pwy297_pc4 2 2 0.133 0.817 0.189 0.826867800355392 6.03372479705088e-18 0.605
EUR.CD_pwy303_pc2 2 0 0.179 -1.82 0.227 -1.81802294981332 2.57253732522899e-20 0.052
EUR.CD_pwy310_pc5 3 3 0.614 1.11 0.604 1.19560600357944 1.18442886166592e-06 0.663
EUR.CD_pwy321_pc2 3 3 0.003 0.883 0.004 0.940942798873933 2.39422382622859e-28 0.204
EUR.CD_pwy322_pc3 3 3 0.631 -0.699 0.605 -0.694942628897702 0.000144393811256184 0.756
EUR.CD_pwy324_pc2 2 2 0.004 1.472 0.006 1.4726626429567 1.15329638221652e-17 0.55
EUR.CD_pwy325_pc2 3 3 0.003 -0.905 0.003 -0.959983971124444 2.51875088190015e-28 0.213
