factor num_snp_fdr<0.2 num_snp_noMHC pval_in_fitting slope_in_fitting rsq_in_fitting pval_in_resampling
lymph_pwy59_pc3 2 2 0.005 -0.076 1 0.008
lymph_pwy65_pc5 2 2 0.077 -0.077 0.985 0.206
lymph_pwy78_pc3 2 2 0.039 -0.073 0.996 0.081
lymph_pwy84_pc3 3 3 0.799 0.012 0.041 0.834
lymph_pwy86_pc2 2 2 0.615 -0.089 0.324 0.507
lymph_pwy88_pc1 2 2 0.051 0.099 0.994 0.065
lymph_pwy89_pc1 3 3 0.509 0.052 0.241 0.42
lymph_pwy8_pc2 2 2 0.971 -0.006 0.002 0.906
lymph_pwy94_pc1 2 2 0.732 -0.024 0.166 0.584
mch_pwy100_pc4 2 2 0.013 -0.064 1 0.031
mch_pwy102_pc5 2 2 0.898 -0.013 0.025 0.806
mch_pwy117_pc2 2 2 0.074 -0.105 0.986 0.124
mch_pwy137_pc4 2 2 0.079 -0.042 0.985 0.135
mch_pwy140_pc3 2 2 0.89 -0.015 0.029 0.795
mch_pwy153_pc4 2 2 0.352 -0.165 0.724 0.466
mch_pwy166_pc1 2 2 0.051 0.04 0.994 0.111
mch_pwy176_pc4 2 2 0.976 0.005 0.001 0.962
mch_pwy194_pc1 2 2 0.038 -0.118 0.996 0.078
mch_pwy221_pc5 2 2 0.069 0.059 0.988 0.129
mch_pwy223_pc2 2 2 0.855 0.023 0.051 0.778
mch_pwy23_pc1 2 2 0.635 -0.05 0.294 0.572
mch_pwy246_pc3 2 2 0.9 0.013 0.024 0.799
mch_pwy256_pc2 2 2 0.105 0.057 0.973 0.202
mch_pwy259_pc4 2 2 0.921 -0.009 0.015 0.872
mch_pwy264_pc2 2 2 0.075 -0.109 0.986 0.097
mch_pwy265_pc3 2 2 0.115 0.061 0.968 0.202
mch_pwy313_pc4 2 2 0.088 -0.078 0.981 0.15
mch_pwy31_pc4 2 2 0.944 0.01 0.008 0.893
mch_pwy322_pc1 3 3 0.703 0.027 0.088 0.732
mch_pwy324_pc4 3 3 0.734 0.019 0.071 0.754
mch_pwy331_pc5 2 2 0.062 0.048 0.991 0.121
mch_pwy332_pc2 4 4 0.865 0.038 0.011 0.848
mch_pwy34_pc2 3 3 0.502 0.061 0.248 0.486
mch_pwy45_pc1 2 2 0.381 -0.153 0.683 0.468
mch_pwy69_pc1 3 3 0.14 0.171 0.74 0.176
mch_pwy70_pc1 2 2 0.715 0.049 0.188 0.688
mch_pwy75_pc3 2 2 0.222 0.165 0.884 0.35
mchc_pwy104_pc4 2 2 0.971 0.003 0.002 0.94
mchc_pwy112_pc1 2 2 0.779 -0.036 0.116 0.795
mchc_pwy113_pc2 2 2 0.064 0.094 0.99 0.122
mchc_pwy117_pc4 2 2 0.904 0.011 0.022 0.802
mchc_pwy118_pc1 3 3 0.506 0.037 0.244 0.39
mchc_pwy118_pc2 3 3 0.686 0.019 0.099 0.673
mchc_pwy119_pc1 3 3 0.678 -0.019 0.104 0.661
mchc_pwy120_pc5 2 2 0.978 0.001 0.001 0.925
mchc_pwy133_pc4 2 2 0.167 -0.094 0.933 0.308
mchc_pwy134_pc2 2 2 0.055 -0.091 0.992 0.113
mchc_pwy134_pc5 2 2 0.411 -0.106 0.637 0.485
mchc_pwy138_pc5 2 2 0.085 0.038 0.982 0.213
mchc_pwy140_pc4 3 3 0.612 -0.024 0.15 0.564
mchc_pwy142_pc4 2 2 0.746 -0.024 0.15 0.602
mchc_pwy143_pc5 2 2 0.896 -0.008 0.026 0.788
mchc_pwy144_pc5 2 2 0.016 -0.048 0.999 0.036
mchc_pwy154_pc5 4 4 0.927 -0.004 0.003 0.901
mchc_pwy156_pc4 3 3 0.127 0.107 0.762 0.233
mchc_pwy172_pc2 2 2 0.316 -0.068 0.773 0.435
mchc_pwy174_pc2 2 2 0.178 0.086 0.924 0.394
mchc_pwy174_pc5 2 1 0.958 0.004 0.004 0.919
mchc_pwy178_pc3 2 2 0.89 -0.014 0.03 0.872
mchc_pwy180_pc4 2 2 0.923 0.008 0.015 0.887
mchc_pwy181_pc4 3 3 0.687 0.017 0.098 0.659
mchc_pwy183_pc3 2 2 0.363 0.203 0.709 0.458
mchc_pwy185_pc3 3 3 0.42 0.03 0.337 0.451
mchc_pwy185_pc4 2 2 0.164 0.074 0.935 0.374
mchc_pwy186_pc4 4 4 0.249 0.03 0.404 0.297
mchc_pwy187_pc3 2 2 0.268 -0.037 0.833 0.439
mchc_pwy188_pc5 2 2 0.915 0.007 0.018 0.834
mchc_pwy189_pc5 3 3 0.582 0.034 0.175 0.518
mchc_pwy192_pc4 2 2 0.767 -0.032 0.128 0.604
mchc_pwy193_pc4 2 1 0.995 0 0 0.992
mchc_pwy199_pc4 2 2 0.888 0.014 0.031 0.83
mchc_pwy1_pc3 2 2 0.192 -0.06 0.911 0.404
mchc_pwy202_pc3 2 2 0.056 0.061 0.992 0.098
mchc_pwy203_pc3 2 2 0.086 0.069 0.982 0.194
mchc_pwy204_pc5 2 2 0.178 -0.079 0.924 0.369
mchc_pwy207_pc4 2 2 0.865 0.024 0.044 0.711
mchc_pwy210_pc3 2 2 0.943 -0.005 0.008 0.89
mchc_pwy212_pc3 2 2 0.713 0.024 0.189 0.639
mchc_pwy212_pc5 2 2 0.18 0.076 0.922 0.396
mchc_pwy219_pc4 2 2 0.056 -0.115 0.992 0.152
mchc_pwy222_pc1 2 2 0.869 -0.029 0.042 0.699
mchc_pwy222_pc5 2 2 0.209 -0.056 0.896 0.319
mchc_pwy224_pc4 2 2 0.082 -0.048 0.983 0.204
mchc_pwy227_pc4 2 2 0.753 -0.042 0.143 0.549
mchc_pwy238_pc3 4 4 0.944 0.003 0.002 0.923
mchc_pwy239_pc1 2 2 0.015 -0.088 0.999 0.03
mchc_pwy251_pc5 2 2 0.854 0.024 0.052 0.748
