factor num_snp_fdr<0.2 num_snp_noMHC pval_in_fitting slope_in_fitting pval_in_resampling
pwy39_peer3 2 2 0.219 0.144 0.289
pwy52_peer3 2 2 0.023 0.11 0.023
pwy58_peer4 3 3 0.113 -0.365 0.177
pwy82_peer5 2 2 0.653 0.212 0.563
pwy95_peer2 3 3 0.053 -0.157 0.085
pwy103_peer2 2 2 0.906 -0.016 0.822
pwy141_peer2 2 2 0.093 -0.121 0.181
pwy148_peer4 2 2 0.84 -0.029 0.702
pwy149_peer5 3 3 0.556 0.056 0.506
pwy179_peer2 2 2 0.959 -0.007 0.907
pwy28_peer5 2 2 0.825 0.035 0.699
pwy303_peer2 2 2 0.064 0.123 0.141
pwy308_peer2 3 3 0.613 0.048 0.596
pwy310_peer2 3 3 0.649 0.048 0.657
pwy331_peer4 2 2 0.994 -0.001 0.985
pwy40_peer3 2 2 0.093 0.128 0.202
pwy41_peer4 2 2 0.038 -0.119 0.079
pwy6_peer4 3 3 0.788 -0.034 0.807
pwy71_peer1 2 2 0.039 0.114 0.085
pwy81_peer2 2 2 0.006 0.114 0.008
pwy97_peer4 3 3 0.794 0.037 0.808
pwy99_peer4 3 3 0.911 0.015 0.89
pwy100_peer1 2 2 0.698 -0.145 0.599
pwy107_peer1 2 2 0.693 -0.132 0.599
pwy128_peer1 2 2 0.708 -0.641 0.599
pwy166_peer2 2 2 0.911 -0.054 0.741
pwy183_peer5 2 2 0.034 0.362 0.07
pwy203_peer4 2 2 0.045 -0.157 0.137
pwy21_peer1 2 2 0.704 0.139 0.599
pwy23_peer1 2 2 0.703 -0.142 0.599
pwy243_peer5 2 2 0.062 0.447 0.234
pwy245_peer3 2 2 0.976 -0.013 0.896
pwy252_peer3 2 2 0.057 0.37 0.188
pwy260_peer5 2 2 0.864 -0.09 0.647
pwy321_peer4 3 3 0.016 0.297 0.045
pwy45_peer3 2 2 0.622 -0.255 0.531
pwy7_peer1 2 2 0.536 -0.293 0.511
pwy72_peer1 2 2 0.565 0.272 0.556
pwy72_peer4 2 2 0.605 165.627 0.557
pwy72_peer5 2 2 0.061 -244.333 0.04
pwy8_peer5 3 3 0.531 -0.249 0.421
pwy84_peer3 2 2 0.019 0.212 0.075
pwy84_peer4 2 2 0.083 -0.261 0.172
pwy85_peer2 2 2 0.049 0.249 0.143
pwy85_peer3 3 3 0.007 0.27 0.013
pwy85_peer5 2 2 0.01 0.333 0.045
pwy21_peer4 3 3 0.626 -0.331 0.632
pwy228_peer5 2 2 0.097 1.393 0.225
pwy235_peer5 3 3 0.037 -1.195 0.148
pwy252_peer4 2 2 0.436 3.118 0.513
pwy297_peer3 2 2 1 0 0.999
pwy301_peer4 2 2 0.081 -1.544 0.192
pwy320_peer5 2 2 0.975 0.03 0.926
pwy324_peer4 2 2 0.786 -0.251 0.682
pwy332_peer3 3 3 0.445 -0.698 0.363
pwy68_peer4 4 5 0 -0.867 0.005
pwy69_peer3 2 2 0.281 -1.124 0.381
pwy77_peer4 3 3 0.739 -0.337 0.715
pwy78_peer3 2 2 0.114 0.821 0.138
pwy84_peer3 2 2 0.266 -0.615 0.145
pwy85_peer4 2 2 0.942 -0.096 0.868
pwy97_peer4 2 2 0.077 1.253 0.179
pwy99_peer4 2 2 0.077 -1.331 0.179
pwy108_peer5 2 2 0.604 0.264 NA
pwy110_peer5 2 2 0.559 -0.261 NA
pwy148_peer5 3 3 0.529 0.364 0.5
pwy162_peer4 3 3 0.431 0.177 0.25
pwy163_peer4 3 3 0.556 0.291 0.5
pwy179_peer4 3 3 0.785 0.125 0.5
pwy183_peer4 3 3 0.499 -0.153 0.5
pwy232_peer3 2 2 0.509 -0.272 NA
pwy313_peer3 3 3 0.5 -0.177 0.5
pwy58_peer3 3 3 0.555 -0.335 0.5
pwy86_peer5 2 2 0.248 -0.636 NA
pwy103_peer5 2 2 0.768 -0.266 0.604
pwy110_peer5 2 2 0.045 0.881 0.088
pwy168_peer3 2 2 0.01 0.802 0
pwy17_peer4 2 2 0.062 -0.871 0.055
pwy188_peer5 2 2 0.734 -0.622 0.495
pwy279_peer4 2 2 0.054 0.779 0.088
pwy140_peer4 2 2 0.136 -0.14 0.231
