factor num_snp_fdr<0.2 num_snp_noMHC pval_in_fitting slope_in_fitting rsq_in_fitting pval_in_resampling
EUR.UC_pwy923_pc5 2 2 0.074 -0.643 0.986 0.251
EUR.UC_pwy929_pc1 3 3 0.491 0.277 0.259 0.316
EUR.UC_pwy932_pc5 3 3 0.003 0.355 0.994 0.033
EUR.UC_pwy935_pc3 2 2 0.046 -0.743 0.995 0.1
EUR.UC_pwy950_pc5 2 2 0.075 0.345 0.986 0.151
EUR.UC_pwy964_pc5 2 2 0.086 0.357 0.982 0.177
EUR.UC_pwy965_pc5 3 3 0.037 0.911 0.927 0.08
EUR.UC_pwy971_pc4 2 2 0.019 -0.662 0.999 0.06
EUR.UC_pwy97_pc5 3 3 0.004 0.216 0.991 0.037
EUR.UC_pwy981_pc2 2 2 0.903 -0.105 0.023 0.746
EUR.UC_pwy984_pc1 2 2 0.933 0.073 0.011 0.755
EUR.UC_pwy989_pc1 2 2 0.054 0.344 0.993 0.174
EUR.UC_pwy989_pc2 4 4 0.894 -0.049 0.007 0.836
T1D_pwy1012_pc2 2 2 0.053 0.434 0.993 0.126
T1D_pwy1035_pc5 2 2 0.141 -0.601 0.952 0.335
T1D_pwy1062_pc2 2 2 0.003 -0.36 1 0.009
T1D_pwy1088_pc2 2 2 0.008 -0.362 1 0.028
T1D_pwy1096_pc1 2 2 0.186 0.305 0.917 0.206
T1D_pwy148_pc5 2 2 0.008 -0.515 1 0.025
T1D_pwy187_pc3 2 2 0.142 0.539 0.951 0.317
T1D_pwy222_pc4 2 2 0.615 0.501 0.323 0.495
T1D_pwy256_pc5 2 2 0.734 0.171 0.165 0.588
T1D_pwy429_pc1 2 2 0.126 -0.573 0.961 0.277
T1D_pwy439_pc4 2 2 0.786 -0.259 0.109 0.597
T1D_pwy456_pc4 2 2 0.03 0.743 0.998 0.065
T1D_pwy475_pc5 2 2 0.008 -0.515 1 0.025
T1D_pwy535_pc3 2 2 0.086 0.406 0.982 0.225
T1D_pwy558_pc4 2 2 0.975 -0.017 0.002 0.929
T1D_pwy559_pc4 2 2 1 0 0 1
T1D_pwy564_pc2 3 3 0.769 -0.129 0.053 0.829
T1D_pwy588_pc2 2 2 0.003 -0.36 1 0.009
T1D_pwy681_pc3 2 2 0.161 -0.606 0.937 0.372
T1D_pwy728_pc3 2 2 0.824 -0.162 0.075 0.634
T1D_pwy759_pc4 2 2 0.033 0.393 0.997 0.015
T1D_pwy772_pc3 2 2 0.076 -0.686 0.986 0.194
T1D_pwy77_pc5 2 2 0.057 0.723 0.992 0.163
T1D_pwy892_pc3 2 2 0.049 -0.728 0.994 0.065
T1D_pwy89_pc4 2 2 0.981 0.007 0.001 0.957
T1D_pwy914_pc2 2 2 0.097 -0.465 0.977 0.222
T1D_pwy946_pc1 2 2 0.921 -0.055 0.015 0.785
T1D_pwy973_pc5 2 2 0.865 -0.117 0.044 0.649
allergy_pwy1017_pc5 2 2 0.166 0.23 0.934 0.414
allergy_pwy1033_pc2 2 2 0.148 -0.177 0.947 0.341
allergy_pwy1036_pc1 2 2 0.01 0.155 1 0.035
allergy_pwy104_pc2 2 2 0.16 -0.176 0.938 0.408
allergy_pwy1057_pc1 4 4 0.231 0.132 0.428 0.177
allergy_pwy1096_pc1 2 2 0.055 -0.096 0.992 0.177
allergy_pwy111_pc1 2 2 0.17 0.182 0.93 0.397
allergy_pwy1124_pc3 2 2 0.111 0.116 0.97 0.326
allergy_pwy1126_pc2 2 2 0.096 -0.255 0.977 0.269
allergy_pwy1127_pc2 2 2 0.096 -0.255 0.977 0.269
allergy_pwy1128_pc2 2 2 0.096 -0.255 0.977 0.269
allergy_pwy1175_pc1 2 2 0.039 0.093 0.996 0.104
allergy_pwy1177_pc3 2 2 0.885 -0.025 0.032 0.816
allergy_pwy120_pc2 2 2 0.159 0.123 0.939 0.393
allergy_pwy127_pc2 2 2 0.654 0.132 0.267 0.507
allergy_pwy128_pc1 2 2 0.012 0.17 1 0.03
allergy_pwy151_pc1 2 2 0.821 -0.076 0.077 0.569
allergy_pwy185_pc1 2 2 0.073 0.113 0.987 0.181
allergy_pwy195_pc5 2 2 0.964 0.009 0.003 0.879
allergy_pwy197_pc5 3 3 0.567 -0.081 0.188 0.461
allergy_pwy205_pc1 2 2 0.104 0.084 0.974 0.313
allergy_pwy219_pc3 2 2 0.904 0.024 0.023 0.813
allergy_pwy239_pc2 2 2 0.96 -0.01 0.004 0.872
allergy_pwy246_pc4 2 2 0.147 0.099 0.948 0.309
allergy_pwy274_pc3 2 2 0.094 0.057 0.978 0.282
allergy_pwy300_pc3 3 3 0.474 0.102 0.276 0.417
allergy_pwy333_pc3 2 2 0.148 -0.142 0.947 0.316
allergy_pwy336_pc2 2 2 0.96 -0.01 0.004 0.872
allergy_pwy353_pc1 2 2 0.732 0.068 0.167 0.571
allergy_pwy354_pc4 2 2 0.929 0.007 0.012 0.811
allergy_pwy398_pc3 2 2 0.955 -0.002 0.005 0.862
allergy_pwy445_pc3 2 2 0.804 0.027 0.091 0.678
allergy_pwy459_pc1 2 2 0.872 0.028 0.04 0.71
allergy_pwy459_pc4 2 2 0.947 0.012 0.007 0.852
allergy_pwy464_pc3 2 2 0.861 -0.015 0.047 0.808
allergy_pwy482_pc1 2 2 0.632 -0.09 0.298 0.527
allergy_pwy508_pc2 2 2 0.046 -0.113 0.995 0.116
allergy_pwy512_pc2 2 2 0.152 -0.126 0.944 0.386
allergy_pwy52_pc1 2 2 0.045 0.16 0.995 0.149
allergy_pwy582_pc1 2 2 0.968 0.008 0.003 0.894
allergy_pwy584_pc2 2 2 0.064 0.124 0.99 0.181
allergy_pwy612_pc1 2 2 0.136 0.124 0.955 0.368
allergy_pwy660_pc1 2 2 0.034 0.1 0.997 0.092
allergy_pwy663_pc4 2 2 0.77 0.038 0.125 0.678
allergy_pwy681_pc1 2 2 0.838 0.02 0.063 0.628
allergy_pwy71_pc4 2 2 0.022 0.158 0.999 0.073
allergy_pwy737_pc2 2 2 0.05 0.07 0.994 0.157
allergy_pwy763_pc4 2 2 0.219 0.178 0.886 0.462
allergy_pwy800_pc3 2 2 0.065 -0.27 0.99 0.202
allergy_pwy810_pc1 2 2 0.104 0.084 0.974 0.313
allergy_pwy853_pc4 2 1 0.938 -0.015 0.01 0.8
allergy_pwy895_pc3 2 2 0.108 -0.24 0.972 0.287
allergy_pwy914_pc2 2 2 0.638 0.091 0.29 0.527
allergy_pwy918_pc2 2 2 0.96 -0.01 0.004 0.872
allergy_pwy939_pc3 2 2 0.87 -0.019 0.041 0.712
allergy_pwy968_pc1 2 2 0.016 -0.116 0.999 0.044
eo_pwy1062_pc1 2 2 0.615 0.047 0.323 0.608
eo_pwy1077_pc1 2 2 0.894 0.023 0.028 0.737
eo_pwy1087_pc1 2 2 0.618 -0.044 0.319 0.609
eo_pwy1088_pc1 2 2 0.624 0.047 0.31 0.614
eo_pwy1093_pc1 2 2 0.618 -0.044 0.319 0.609
eo_pwy1094_pc1 2 2 0.627 -0.043 0.305 0.614
eo_pwy1096_pc5 2 2 0.831 -0.037 0.069 0.637
eo_pwy111_pc2 2 2 0.148 0.088 0.947 0.334
eo_pwy1142_pc3 2 2 0.917 0.014 0.017 0.796
eo_pwy1143_pc1 2 2 0.788 -0.029 0.107 0.575
eo_pwy1148_pc5 2 2 0.975 0.004 0.002 0.921
eo_pwy1181_pc4 2 2 0.19 -0.076 0.914 0.392
eo_pwy1190_pc2 2 2 0.065 0.149 0.99 0.162
eo_pwy229_pc5 2 2 0.035 0.042 0.997 0.09
eo_pwy22_pc2 2 2 0.964 0.005 0.003 0.907
eo_pwy23_pc3 2 2 0.85 0.023 0.055 0.661
eo_pwy299_pc4 2 2 0.911 -0.015 0.019 0.77
eo_pwy352_pc2 2 2 0.914 -0.017 0.018 0.818
eo_pwy399_pc1 2 2 0.677 0.06 0.236 0.525
eo_pwy496_pc3 2 2 0.001 0.089 1 0.005
eo_pwy506_pc3 2 2 0.793 -0.065 0.102 0.589
eo_pwy507_pc2 2 2 0.663 0.1 0.256 0.5
eo_pwy536_pc1 2 2 0.81 -0.064 0.087 0.632
eo_pwy549_pc4 3 3 0.612 0.024 0.15 0.648
eo_pwy558_pc4 2 2 0.129 -0.081 0.96 0.295
eo_pwy559_pc4 2 2 0.068 0.071 0.989 0.03
eo_pwy567_pc5 2 2 0.04 -0.05 0.996 0.105
eo_pwy568_pc5 2 2 0.04 -0.049 0.996 0.106
eo_pwy588_pc1 2 2 0.615 0.047 0.323 0.608
eo_pwy589_pc1 2 2 0.627 -0.043 0.305 0.614
eo_pwy615_pc2 4 4 0.878 0.017 0.009 0.822
eo_pwy665_pc5 2 2 0.982 0.002 0.001 0.949
eo_pwy666_pc2 2 2 0.617 -0.03 0.321 0.57
eo_pwy694_pc3 2 2 0.535 -0.03 0.445 0.521
eo_pwy751_pc3 2 2 0.172 0.077 0.929 0.373
eo_pwy779_pc4 2 2 0.039 -0.053 0.996 0.104
eo_pwy781_pc4 2 2 0.896 0.023 0.026 0.741
eo_pwy795_pc4 2 2 0.8 0.053 0.096 0.61
eo_pwy798_pc2 2 2 0.852 0.021 0.053 0.655
eo_pwy815_pc4 2 2 0.834 0.02 0.066 0.654
eo_pwy883_pc4 2 2 0.644 0.066 0.281 0.5
eo_pwy896_pc4 2 2 0.105 -0.051 0.973 0.108
eo_pwy903_pc1 4 4 0.332 0.071 0.307 0.401
eo_pwy924_pc3 3 3 0.841 0.022 0.025 0.87
eo_pwy935_pc5 2 2 0.752 -0.077 0.144 0.588
eo_pwy944_pc3 2 2 0.657 -0.062 0.263 0.532
eo_pwy969_pc4 2 2 0.896 -0.02 0.027 0.778
