factor num_snp_fdr<0.2 num_snp_noMHC pval_in_fitting slope_in_fitting pval_in_resampling IVW_estimate IVW_pval IVW_resampling_pval
LDL_pwy252_peer5 2 2 0.078 -0.499 0.117 -0.511794633524054 9.41808000139428e-26 0.349
LDL_pwy260_peer5 2 2 0.005 -0.611 0.012 -0.611190325443177 1.43457583084707e-23 0.396
LDL_pwy265_peer3 2 2 0.199 1.874 0.339 1.90530454706528 2.03018888013238e-50 0.408
LDL_pwy265_peer5 2 2 0.209 -2.696 0.29 -2.49389791278115 5.21734935893549e-304 0.046
LDL_pwy272_peer5 2 2 0.137 -0.636 0.182 -0.682667759848268 2.77007950746846e-49 0.261
LDL_pwy281_peer3 2 2 0.167 0.501 0.203 0.545448322130211 4.75733276831148e-48 0.262
LDL_pwy296_peer5 2 2 0.361 -2.252 0.433 -2.25170169684672 1.83150301750929e-95 0.167
LDL_pwy297_peer2 2 2 0.912 -0.07 0.859 0.0588865558057476 0.261245075687159 0.872
LDL_pwy308_peer4 2 2 0.037 0.755 0.031 0.811821632597196 3.4051916831951e-27 0.27
LDL_pwy310_peer1 2 2 0.035 -7.017 0.075 -7.05485950265918 1.60560162095915e-26 0.586
LDL_pwy31_peer5 2 2 0.557 0.569 0.554 0.157321755588583 0.00129824502783509 0.832
LDL_pwy320_peer3 3 0 0.279 0.054 0.298 0.0464672532452607 3.83056071699897e-16 0.579
LDL_pwy320_peer4 2 0 0.128 -0.241 0.24 -0.227144113997492 1.42299628593619e-25 0.497
LDL_pwy321_peer3 3 0 0.344 0.175 0.322 0.147981639074578 7.00560584754568e-13 0.611
LDL_pwy321_peer4 2 0 0.2 -0.093 0.35 -0.0844361339710919 4.52422345489773e-24 0.516
LDL_pwy321_peer5 3 0 0.313 0.075 0.31 0.0641702318926422 1.53514759121042e-14 0.604
LDL_pwy325_peer4 3 0 0.297 0.055 0.305 0.047069189856739 2.77868221878264e-15 0.595
LDL_pwy325_peer5 2 0 0.149 0.194 0.282 0.180228038497644 3.58016077989972e-25 0.503
LDL_pwy326_peer4 3 0 0.285 -0.054 0.302 -0.0469945558191216 7.47108628363339e-16 0.583
LDL_pwy326_peer5 2 0 0.102 -0.253 0.18 -0.241378718424514 5.57104799693913e-26 0.487
LDL_pwy331_peer4 2 0 0.014 -0.439 0.037 -0.439217611211671 2.40773025920224e-20 0.601
LDL_pwy45_peer5 2 2 0.931 0.061 0.858 -0.0586993214788199 0.232940974480052 0.902
LDL_pwy49_peer3 2 2 0.317 -0.849 0.459 -0.778347041418673 6.41797464083522e-52 0.334
LDL_pwy50_peer3 2 2 0.109 1.039 0.147 0.8756536879366 1.07194288471117e-41 0.259
LDL_pwy6_peer2 3 3 0.842 -0.183 0.851 -0.639945323662052 8.50535605693666e-25 0.493
LDL_pwy74_peer1 3 3 0.964 0.055 0.962 0.670261995014119 2.4724100555149e-12 0.615
LDL_pwy78_peer3 2 2 0.058 -0.452 0.089 -0.457044000720454 4.81251078958849e-28 0.399
LDL_pwy84_peer2 2 2 0.129 -0.565 0.198 -0.565235038534302 8.11991564751343e-24 0.567
LDL_pwy85_peer4 2 2 0.411 0.16 0.488 0.104524076234076 2.01225990041294e-22 0.596
LDL_pwy93_peer4 2 2 0.139 -1.105 0.238 -1.15692945894355 1.18212039835658e-25 0.122
SCZ_pwy104_peer5 2 2 0.066 0.83 0.191 0.840102396069739 2.14097421039007e-21 0.22
SCZ_pwy119_peer2 3 3 0.004 1.852 0.008 2.00915133362593 1.33272452375604e-36 0.057
SCZ_pwy127_peer2 2 2 0.934 -0.203 0.855 -0.106551785523596 0.649894461513322 0.895
SCZ_pwy172_peer3 2 0 0.055 0.702 0.047 0.729226244707514 1.83825846397908e-17 0.257
SCZ_pwy176_peer3 2 2 0.938 0.275 0.768 0.129648294473621 0.656219646066355 0.876
SCZ_pwy181_peer5 2 2 0.018 -1.408 0.076 -1.39923995257659 1.02563604444294e-14 0.496
SCZ_pwy183_peer3 2 2 0.043 1.992 0.174 1.99218262944196 2.33687723878127e-17 0.493
SCZ_pwy183_peer4 2 2 0.079 1.285 0.215 1.30275237432375 6.8294168946786e-18 0.433
SCZ_pwy183_peer5 2 2 0.812 0.477 0.638 0.0402227602743481 0.83135156174831 0.953
SCZ_pwy184_peer3 2 2 0.9 -0.331 0.821 -0.348519486980003 0.135834334689713 0.831
SCZ_pwy193_peer2 2 0 0.001 -1.733 0.001 -1.72597579818567 9.59498922418354e-22 0.159
SCZ_pwy193_peer4 2 0 0.038 1.249 0.04 1.26831449280305 2.01053356162617e-37 0.038
SCZ_pwy193_peer5 2 0 0.112 0.237 0.308 0.230253821698082 5.45928926615635e-23 0.241
SCZ_pwy197_peer1 2 0 0.136 6.275 0.254 6.71201328693667 1.52641031785555e-27 0.016
SCZ_pwy203_peer1 2 2 0.125 -1.476 0.211 -1.43637218490678 1.02118654297689e-16 0.382
SCZ_pwy203_peer2 2 2 0.106 -1.132 0.189 -1.10540464512924 7.14902789954966e-17 0.373
SCZ_pwy203_peer4 2 2 0.088 -0.187 0.176 -0.18331068508125 5.4190723654821e-17 0.371
SCZ_pwy21_peer1 2 2 0.742 -1.349 0.595 -0.615134539396876 0.0410606751932148 0.692
SCZ_pwy238_peer3 3 0 0.246 -1.058 0.214 0.6146487291359 1.88356863688538e-07 0.55
SCZ_pwy238_peer5 2 0 0.115 -0.24 0.309 -0.232726481892297 5.84718475054273e-23 0.242
SCZ_pwy242_peer5 2 2 0.054 -2.327 0.032 -1.99077482494296 6.43609642367171e-16 0.191
SCZ_pwy259_peer5 2 2 0.957 -0.121 0.854 -0.0735987084255149 0.724374620836593 0.902
SCZ_pwy260_peer4 3 3 0.556 0.782 0.45 0.625978449972797 9.65041911083838e-05 0.642
SCZ_pwy269_peer3 2 2 0.004 3.309 0.015 3.3086884130552 1.39567704054696e-15 0.539
SCZ_pwy269_peer4 2 2 0.91 -0.44 0.757 -0.493378716541109 0.173527789126148 0.78
SCZ_pwy289_peer4 2 2 0.002 4.449 0.004 4.44978057707194 4.08719855833632e-18 0.351
SCZ_pwy304_peer3 4 4 0.003 -2.536 0.008 -2.68342255531504 2.0230090155658e-17 0.002
