factor num_snp_fdr<0.2 num_snp_noMHC pval_in_fitting slope_in_fitting pval_in_resampling
pwy43_pc4 2 2 0.935 -0.011 0.846
pwy57_pc5 2 2 0.153 -0.088 0.199
pwy62_pc4 2 2 0.205 -0.184 0.364
pwy62_pc5 2 2 0.146 0.147 0.281
pwy69_pc5 2 2 0.154 0.185 0.292
pwy79_pc4 2 2 0.92 0.014 0.829
pwy172_pc4 2 2 0.105 -0.08 0.213
pwy193_pc5 6 0 0.649 -0.019 0.671
pwy21_pc1 2 2 0.02 0.041 0.042
pwy238_pc5 10 0 0.17 0.04 0.174
pwy250_pc3 2 2 0.129 0.093 0.224
pwy253_pc1 2 2 0.033 -0.037 0.061
pwy297_pc3 2 2 0.113 0.077 0.18
pwy320_pc3 8 0 0.292 0.034 0.269
pwy321_pc5 7 0 0.274 0.03 0.288
pwy324_pc5 2 2 0.076 0.057 0.114
pwy325_pc4 7 0 0.557 0.021 0.544
pwy325_pc5 5 0 0.748 0.021 0.769
pwy326_pc4 8 0 0.27 -0.035 0.251
pwy326_pc5 2 2 0.086 0.118 0.187
pwy34_pc3 3 3 0.542 0.066 0.497
pwy66_pc5 2 2 0.898 0.018 0.849
pwy98_pc5 2 2 0.078 0.083 0.098
pwy99_pc4 2 2 0.085 0.249 0.183
pwy102_pc2 2 2 0.951 -0.003 0.906
pwy104_pc2 2 2 0.928 0.006 0.843
pwy12_pc1 2 2 0.104 0.047 0.145
pwy132_pc2 2 2 0.903 0.016 0.805
pwy133_pc1 2 2 0.974 0.002 0.953
pwy14_pc5 2 2 0.05 0.144 0.096
pwy146_pc1 2 2 0.891 0.005 0.771
pwy167_pc5 2 0 0.085 -0.061 0.09
pwy178_pc1 2 2 0.92 0.004 0.83
pwy193_pc5 8 0 0 -0.047 0.001
pwy196_pc2 2 2 0.919 -0.003 0.829
pwy197_pc5 2 2 0.146 0.057 0.115
pwy202_pc5 2 2 0.775 0.018 0.647
pwy222_pc3 2 2 0.912 0.007 0.806
pwy238_pc5 10 0 0 0.045 0
pwy242_pc3 2 2 0.814 0.034 0.688
pwy258_pc2 3 3 0.726 -0.005 0.754
pwy258_pc4 2 2 0.046 -0.033 0.112
pwy259_pc5 2 2 0.071 0.075 0.137
pwy273_pc5 2 2 0.991 0.001 0.981
pwy28_pc4 2 2 0.682 -0.047 0.669
pwy283_pc3 2 2 0.028 0.037 0.034
pwy284_pc4 2 2 0.021 0.037 0.026
pwy301_pc3 2 2 0.109 0.086 0.199
pwy310_pc1 2 2 0.906 0.004 0.808
pwy311_pc3 2 2 0.96 0.004 0.928
pwy320_pc3 8 0 0.001 0.042 0.002
pwy320_pc5 2 2 0.535 0.075 0.522
pwy321_pc5 10 0 0.001 0.044 0.003
pwy322_pc4 3 0 0.097 0.082 0.104
pwy325_pc4 9 0 0 0.046 0.001
pwy325_pc5 6 0 0.514 -0.03 0.497
pwy326_pc4 8 0 0 -0.042 0.001
pwy328_pc2 2 2 0.016 -0.046 0.004
pwy330_pc2 2 2 0.015 -0.045 0.003
pwy331_pc4 3 3 0.084 -0.067 0.039
pwy34_pc3 2 2 0.978 -0.004 0.952
pwy34_pc5 2 2 0.055 0.156 0.132
pwy44_pc3 2 2 0.128 -0.047 0.113
pwy47_pc3 2 2 0.148 0.046 0.118
pwy52_pc2 2 2 0.904 0.011 0.805
pwy7_pc1 2 0 0.804 -0.055 0.666
pwy85_pc4 2 2 0.838 0.016 0.734
pwy88_pc4 2 2 0.132 -0.103 0.242
pwy90_pc5 2 2 0.284 -0.169 0.228
pwy93_pc2 2 0 0.821 0.02 0.691
pwy97_pc3 3 3 0.59 -0.028 0.556
pwy97_pc4 3 3 0.022 -0.076 0.08
pwy99_pc5 2 2 0.047 0.098 0.118
pwy103_pc1 2 0 0.861 -0.02 0.74
pwy176_pc3 2 2 0.542 -0.045 0.523
pwy176_pc5 2 2 0.124 0.087 0.199
pwy193_pc5 7 0 0.004 -0.044 0.002
pwy20_pc4 2 0 0.237 -0.054 0.249
pwy203_pc4 2 2 0.09 -0.054 0.088
pwy222_pc3 2 2 0.959 0.003 0.923
pwy234_pc4 2 2 0.214 -0.09 0.341
pwy238_pc5 10 0 0.001 0.051 0
pwy244_pc5 2 2 0.122 -0.095 0.237
pwy253_pc5 2 0 0.151 -0.061 0.113
pwy259_pc5 2 2 0.068 0.072 0.157
pwy273_pc5 2 2 0.966 -0.003 0.912
pwy283_pc3 2 2 0.012 0.04 0.012
pwy284_pc4 2 2 0.005 0.039 0.005
pwy301_pc3 2 2 0.127 0.085 0.244
pwy305_pc5 3 3 0.879 0.017 0.897
pwy306_pc5 2 0 0.093 0.112 0.133
pwy311_pc3 2 2 0.948 -0.004 0.9
