factor num_snp_fdr<0.2 num_snp_noMHC pval_in_fitting slope_in_fitting rsq_in_fitting pval_in_resampling
EUR.IBD_pwy526_pc3 2 2 0.04 -0.179 0.996 0.099
EUR.IBD_pwy526_pc4 3 3 0.025 -0.72 0.951 0.18
EUR.IBD_pwy52_pc4 2 2 0.955 -0.039 0.005 0.937
EUR.IBD_pwy531_pc4 2 2 0.001 -0.697 1 0
EUR.IBD_pwy538_pc5 3 3 0.439 0.088 0.315 0.268
EUR.IBD_pwy539_pc2 2 2 0.083 -0.568 0.983 0.255
EUR.IBD_pwy541_pc2 2 2 0.819 -0.227 0.079 0.642
EUR.IBD_pwy542_pc4 2 2 0.075 -0.216 0.986 0.206
EUR.IBD_pwy546_pc3 2 2 0.006 0.564 1 0.019
EUR.IBD_pwy548_pc5 2 2 0.083 0.253 0.983 0.222
EUR.IBD_pwy549_pc1 2 2 0.673 -0.397 0.242 0.592
EUR.IBD_pwy553_pc4 2 2 0.943 -0.086 0.008 0.852
EUR.IBD_pwy554_pc5 2 2 0.013 0.13 1 0.031
EUR.IBD_pwy557_pc2 2 2 0.996 -0.005 0 0.994
EUR.IBD_pwy557_pc4 2 2 0.608 -0.22 0.334 0.505
EUR.IBD_pwy558_pc3 2 2 0.091 0.492 0.98 0.237
EUR.IBD_pwy560_pc1 3 3 0.214 -0.714 0.618 0.247
EUR.IBD_pwy564_pc4 3 3 0.712 0.212 0.083 0.767
EUR.IBD_pwy569_pc2 2 2 0.027 0.756 0.998 0.059
EUR.IBD_pwy571_pc2 2 2 0.912 0.102 0.019 0.744
EUR.IBD_pwy571_pc5 2 2 0.887 0.236 0.031 0.713
EUR.IBD_pwy573_pc1 2 2 0.489 -1.633 0.517 0.455
EUR.IBD_pwy573_pc2 2 2 0.01 -0.713 1 0.028
EUR.IBD_pwy576_pc4 2 2 0.937 0.066 0.01 0.831
EUR.IBD_pwy579_pc4 2 2 0.056 0.401 0.992 0.145
EUR.IBD_pwy580_pc4 2 2 0.046 0.425 0.995 0.115
EUR.IBD_pwy581_pc4 2 2 0.039 0.429 0.996 0.099
EUR.IBD_pwy582_pc3 2 2 0.974 -0.025 0.002 0.959
EUR.IBD_pwy592_pc2 2 2 0.51 0.258 0.484 0.497
EUR.IBD_pwy596_pc3 2 2 0.007 0.664 1 0.017
EUR.IBD_pwy59_pc1 2 2 0.016 -0.69 0.999 0.053
EUR.IBD_pwy5_pc4 3 3 0.568 -0.244 0.186 0.418
EUR.IBD_pwy600_pc4 2 2 0.951 0.084 0.006 0.837
EUR.IBD_pwy611_pc4 4 4 0.772 -0.094 0.032 0.771
EUR.IBD_pwy616_pc1 2 2 0.845 -0.228 0.058 0.675
EUR.IBD_pwy616_pc4 2 2 0.543 0.322 0.433 0.499
EUR.IBD_pwy616_pc5 2 2 0.995 -0.006 0 0.983
EUR.IBD_pwy620_pc1 2 2 0.034 0.657 0.997 0.078
EUR.IBD_pwy623_pc1 2 2 0.951 0.072 0.006 0.838
EUR.IBD_pwy623_pc4 2 2 0.857 0.226 0.049 0.671
EUR.IBD_pwy625_pc1 2 2 0.872 0.223 0.04 0.681
EUR.IBD_pwy625_pc5 2 2 0.856 -0.161 0.05 0.637
EUR.IBD_pwy629_pc4 2 2 0.984 -0.01 0.001 0.973
EUR.IBD_pwy62_pc1 4 4 0.791 0.198 0.027 0.725
EUR.IBD_pwy631_pc2 2 2 0.533 -0.755 0.447 0.519
EUR.IBD_pwy632_pc3 2 2 0.011 1.039 1 0.041
EUR.IBD_pwy643_pc1 2 2 0.002 1.152 1 0
EUR.IBD_pwy64_pc4 7 7 0.868 -0.081 0.005 0.903
EUR.IBD_pwy651_pc1 2 2 0.025 -0.293 0.998 0.053
EUR.IBD_pwy651_pc2 3 3 0.787 -0.058 0.046 0.817
EUR.IBD_pwy654_pc2 3 3 0.622 0.338 0.143 0.522
EUR.IBD_pwy656_pc2 2 2 0.846 0.124 0.058 0.75
EUR.IBD_pwy65_pc3 3 3 0.559 -0.213 0.195 0.41
EUR.IBD_pwy679_pc4 3 3 0.629 0.203 0.138 0.677
EUR.IBD_pwy680_pc1 2 2 0.024 0.675 0.999 0.04
EUR.IBD_pwy681_pc1 2 2 0.006 -0.746 1 0.016
EUR.IBD_pwy683_pc4 3 3 0.761 -0.118 0.057 0.807
EUR.IBD_pwy684_pc5 2 2 0.012 -0.556 1 0.003
EUR.IBD_pwy68_pc3 2 2 0.224 1.047 0.881 0.456
EUR.IBD_pwy696_pc4 3 3 0.461 0.224 0.29 0.292
EUR.IBD_pwy697_pc4 3 3 0.758 0.157 0.059 0.824
