factor num_snp_fdr<0.2 num_snp_noMHC pval_in_fitting slope_in_fitting rsq_in_fitting pval_in_resampling
mchc_pwy14_pc3 2 2 0.064 -0.095 0.99 0.117
mchc_pwy151_pc2 2 2 0.982 0.002 0.001 0.948
mchc_pwy153_pc2 2 2 0.014 -0.081 1 0.026
mchc_pwy162_pc4 2 2 0.036 0.061 0.997 0.082
mchc_pwy164_pc1 3 2 0.004 -0.109 0.992 0.02
mchc_pwy213_pc1 2 2 0.787 -0.043 0.108 0.593
mchc_pwy232_pc3 3 3 0.748 0.021 0.064 0.774
mchc_pwy235_pc5 3 3 0.617 -0.026 0.147 0.585
mchc_pwy241_pc1 2 2 0.33 0.267 0.755 0.462
mchc_pwy269_pc2 2 1 0.986 0.002 0.001 0.971
mchc_pwy272_pc2 2 2 0.005 -0.095 1 0.007
mchc_pwy296_pc4 2 2 0.086 -0.042 0.982 0.202
mchc_pwy314_pc2 2 2 0.816 -0.026 0.081 0.67
mchc_pwy325_pc5 2 2 0.794 -0.051 0.101 0.567
mchc_pwy328_pc1 2 1 0.96 0.004 0.004 0.905
mchc_pwy330_pc1 2 1 0.933 0.007 0.011 0.845
mchc_pwy47_pc4 2 2 0.345 -0.137 0.734 0.521
mchc_pwy73_pc3 2 2 0.032 0.119 0.997 0.061
mchc_pwy92_pc1 2 2 0.028 0.091 0.998 0.062
mcv_pwy144_pc5 2 2 0.744 0.061 0.153 0.606
mcv_pwy146_pc3 2 2 0.676 -0.084 0.237 0.559
mcv_pwy169_pc5 2 2 0.397 0.049 0.659 0.329
mcv_pwy183_pc4 2 2 0.492 0.039 0.513 0.514
mcv_pwy190_pc2 2 2 0.948 0.007 0.007 0.881
mcv_pwy244_pc3 2 2 0.77 0.078 0.125 0.614
mcv_pwy252_pc2 2 2 0.682 0.047 0.229 0.582
mcv_pwy270_pc2 2 2 0.045 0.065 0.995 0.115
mcv_pwy279_pc5 2 2 0.039 0.067 0.996 0.052
mcv_pwy300_pc1 2 2 0.641 -0.064 0.286 0.547
mcv_pwy305_pc1 2 2 0.941 0.007 0.009 0.884
mcv_pwy318_pc1 3 3 0.362 -0.063 0.407 0.278
mcv_pwy322_pc4 3 3 0.526 0.046 0.225 0.452
mcv_pwy46_pc2 2 2 0.541 -0.08 0.436 0.542
mcv_pwy64_pc5 2 2 0.061 0.067 0.991 0.054
mcv_pwy79_pc3 2 2 0.062 0.077 0.99 0.051
mcv_pwy79_pc4 3 3 0.597 -0.026 0.162 0.562
mcv_pwy87_pc5 2 2 0.949 -0.008 0.006 0.896
mcv_pwy95_pc1 2 2 0.273 -0.112 0.828 0.406
mono_pwy101_pc5 2 2 0.97 -0.003 0.002 0.942
mono_pwy117_pc5 2 2 0.137 0.07 0.955 0.245
mono_pwy122_pc4 2 2 0.443 0.021 0.589 0.455
mono_pwy127_pc2 3 3 0.342 -0.048 0.434 0.27
mono_pwy128_pc2 2 2 0.795 0.019 0.101 0.827
mono_pwy128_pc4 2 2 0.847 -0.011 0.056 0.833
mono_pwy130_pc4 2 2 0.458 -0.028 0.565 0.482
mono_pwy139_pc4 2 2 0.089 -0.052 0.981 0.186
mono_pwy140_pc4 3 3 0.493 0.038 0.257 0.521
mono_pwy143_pc2 4 4 0.463 0.106 0.19 0.46
mono_pwy143_pc4 3 3 0.031 0.053 0.94 0.087
mono_pwy144_pc3 2 2 0.13 -0.148 0.959 0.198
mono_pwy147_pc3 2 2 0.135 -0.128 0.956 0.267
mono_pwy148_pc3 2 2 0.958 0.007 0.004 0.918
mono_pwy149_pc1 2 2 0.465 0.033 0.554 0.492
mono_pwy151_pc4 2 2 0.46 0.02 0.563 0.484
mono_pwy161_pc4 2 2 0.005 0.052 1 0.015
mono_pwy163_pc4 2 2 0.782 -0.013 0.112 0.827
mono_pwy165_pc4 2 2 0.812 0.009 0.085 0.827
mono_pwy169_pc4 2 2 0.857 0.01 0.049 0.839
mono_pwy174_pc2 2 2 0.164 0.12 0.935 0.306
mono_pwy181_pc4 2 2 0.47 0.027 0.547 0.498
mono_pwy189_pc2 2 2 0.679 0.138 0.233 0.565
mono_pwy192_pc4 2 2 0.792 0.011 0.103 0.827
mono_pwy196_pc4 2 2 0.14 -0.066 0.953 0.253
mono_pwy199_pc2 2 2 0.442 -0.094 0.59 0.498
mono_pwy202_pc4 2 2 0.041 -0.061 0.996 0.095
mono_pwy205_pc4 2 2 0.027 0.056 0.998 0.063
mono_pwy211_pc3 2 2 0.457 -0.036 0.568 0.477
mono_pwy211_pc4 2 2 0.83 0.009 0.07 0.828
mono_pwy212_pc2 2 2 0.666 0.099 0.251 0.564
mono_pwy217_pc4 2 2 0.852 0.038 0.053 0.787
mono_pwy223_pc4 3 3 0.813 -0.008 0.035 0.814
mono_pwy225_pc5 2 2 0.936 -0.009 0.01 0.89
mono_pwy226_pc2 2 2 0.733 0.043 0.166 0.602
mono_pwy228_pc4 2 2 0.017 -0.053 0.999 0.037
mono_pwy234_pc1 2 2 0.842 -0.015 0.06 0.829
mono_pwy242_pc1 3 3 0.399 -0.041 0.361 0.442
mono_pwy247_pc2 2 2 0.835 0.017 0.066 0.828
mono_pwy254_pc1 2 2 0.049 0.127 0.994 0.086
mono_pwy258_pc1 3 3 0.352 -0.033 0.42 0.387
mono_pwy266_pc4 2 2 0.203 -0.084 0.902 0.365
mono_pwy270_pc3 2 2 0.459 -0.053 0.565 0.484
mono_pwy274_pc4 2 2 0.827 0.013 0.072 0.828
mono_pwy277_pc5 3 3 0.002 -0.088 0.996 0.007
mono_pwy284_pc4 3 3 0.026 -0.066 0.949 0.065
mono_pwy286_pc1 2 2 0.73 -0.074 0.169 0.605
mono_pwy288_pc4 2 2 0.106 0.059 0.972 0.166
mono_pwy289_pc5 2 2 0.831 -0.011 0.069 0.828
mono_pwy291_pc5 2 2 0.115 0.067 0.968 0.193
mono_pwy294_pc4 3 3 0.946 0.001 0.003 0.932
mono_pwy296_pc2 3 3 0.794 0.011 0.042 0.806
mono_pwy310_pc2 2 2 0.489 0.039 0.517 0.529
mono_pwy317_pc1 2 2 0.11 0.06 0.971 0.198
mono_pwy325_pc4 3 3 0.494 -0.102 0.256 0.399
mono_pwy330_pc4 2 2 0.805 -0.015 0.091 0.827
mono_pwy331_pc4 2 2 0.028 -0.075 0.998 0.048
mono_pwy332_pc4 3 3 0.369 -0.039 0.398 0.411
mono_pwy45_pc2 2 2 0.033 0.081 0.997 0.066
mono_pwy74_pc3 3 3 0.948 0.016 0.003 0.958
mono_pwy81_pc2 2 2 0.102 -0.104 0.974 0.118
mono_pwy82_pc5 2 2 0.851 0.03 0.054 0.747
mpv_pwy101_pc4 2 2 0.759 -0.052 0.137 0.645
mpv_pwy103_pc2 2 2 0.159 -0.121 0.939 0.284
mpv_pwy105_pc3 2 2 0.04 -0.075 0.996 0.054
mpv_pwy140_pc1 3 3 0.162 -0.105 0.703 0.166
mpv_pwy147_pc4 2 2 0.646 0.193 0.278 0.521
mpv_pwy166_pc5 2 2 0.04 -0.062 0.996 0.067
mpv_pwy175_pc4 2 2 0.346 0.143 0.732 0.382
mpv_pwy175_pc5 2 2 0.173 -0.116 0.928 0.203
mpv_pwy179_pc1 2 2 0.168 0.409 0.932 0.141
mpv_pwy182_pc1 2 2 0.071 0.09 0.988 0.156
mpv_pwy185_pc1 3 3 0.12 0.158 0.774 0.107
mpv_pwy186_pc1 2 2 0.315 -0.126 0.774 0.28
mpv_pwy21_pc3 2 2 0.279 -0.079 0.82 0.291
mpv_pwy23_pc5 2 2 0.406 0.302 0.645 0.469
mpv_pwy24_pc5 2 2 0.009 0.116 1 0.019
mpv_pwy251_pc4 2 2 0.432 -0.268 0.605 0.507
mpv_pwy259_pc2 2 2 0.392 -0.504 0.666 0.466
mpv_pwy264_pc3 3 3 0.682 -0.041 0.101 0.694
mpv_pwy26_pc2 2 2 0.68 0.063 0.232 0.584
mpv_pwy275_pc1 2 2 0.337 0.115 0.745 0.326
mpv_pwy279_pc1 3 3 0.131 -0.111 0.756 0.118
mpv_pwy296_pc3 2 2 0.091 -0.104 0.979 0.187
mpv_pwy29_pc2 2 2 0.474 0.15 0.541 0.483
mpv_pwy322_pc1 2 2 0.034 -0.101 0.997 0.023
mpv_pwy323_pc1 2 2 0.339 0.311 0.742 0.348
mpv_pwy49_pc3 2 2 0.594 0.19 0.354 0.575
mpv_pwy62_pc3 2 1 0.384 0.454 0.679 0.461
mpv_pwy68_pc3 2 2 0.102 0.125 0.975 0.17
mpv_pwy75_pc2 2 2 0.75 -0.048 0.147 0.638
mpv_pwy99_pc5 2 2 0.564 0.403 0.4 0.52
myeloid_wbc_pwy194_pc5 2 2 0.919 0.01 0.016 0.775
myeloid_wbc_pwy262_pc5 2 2 0.967 -0.003 0.003 0.901
myeloid_wbc_pwy266_pc2 3 3 0.697 -0.027 0.092 0.713
myeloid_wbc_pwy330_pc5 2 2 0.158 -0.079 0.939 0.368
myeloid_wbc_pwy53_pc5 2 2 0.927 -0.009 0.013 0.825
myeloid_wbc_pwy64_pc4 2 2 0.754 0.038 0.143 0.542
myeloid_wbc_pwy75_pc3 2 2 0.209 0.099 0.896 0.427
myeloid_wbc_pwy77_pc2 3 3 0.74 -0.02 0.067 0.799
myeloid_wbc_pwy91_pc1 2 2 0.192 0.184 0.912 0.406
myeloid_wbc_pwy94_pc5 2 2 0.891 -0.017 0.029 0.759
neut_pwy15_pc4 2 2 0.961 -0.005 0.004 0.865
neut_pwy194_pc5 3 3 0.508 0.051 0.242 0.373
neut_pwy209_pc5 2 2 0.111 -0.221 0.97 0.302
neut_pwy228_pc2 2 2 0.1 0.115 0.975 0.267
neut_pwy262_pc5 2 2 0.982 -0.002 0.001 0.926
