factor num_snp_fdr<0.2 num_snp_noMHC pval_in_fitting slope_in_fitting pval_in_resampling
pwy218_pc3 2 2 0.013 -0.099 0.007
pwy236_pc4 2 2 0.024 0.131 0.054
pwy245_pc3 3 3 0.776 0.032 0.796
pwy246_pc5 3 3 0.004 -0.104 0.016
pwy25_pc1 2 2 0.889 -0.036 0.783
pwy251_pc5 2 2 0.955 -0.009 0.928
pwy253_pc3 2 2 0.01 -0.108 0.013
pwy272_pc4 3 3 0.708 0.042 0.706
pwy275_pc3 2 2 0.156 0.107 0.293
pwy285_pc1 2 2 0.051 0.217 0.082
pwy299_pc3 2 2 0.061 -0.166 0.087
pwy317_pc3 2 2 0.837 -0.045 0.722
pwy32_pc1 2 2 0.012 -0.204 0.001
pwy33_pc2 2 2 0.849 -0.02 0.747
pwy35_pc4 2 2 0.97 0.006 0.918
pwy45_pc1 2 2 0.526 -0.121 0.533
pwy52_pc5 3 3 0.319 0.245 0.293
pwy54_pc5 2 2 0.008 -0.105 0.011
pwy57_pc1 2 2 0.045 -0.26 0.027
pwy57_pc5 2 2 0.033 -0.129 0.067
pwy60_pc5 2 2 0.127 0.083 0.146
pwy8_pc2 3 3 0.573 0.069 0.547
pwy93_pc1 2 2 0.951 -0.006 0.876
pwy99_pc5 2 2 0.886 -0.022 0.796
pwy1_pc1 2 2 0.903 -0.033 0.815
pwy10_pc1 2 2 0.733 -0.047 0.664
pwy104_pc4 3 3 0.43 0.051 0.388
pwy107_pc5 2 2 0.028 -0.114 0.046
pwy120_pc2 2 2 0.091 0.259 0.11
pwy141_pc4 4 4 0.854 0.01 0.856
pwy148_pc3 2 2 0.068 -0.329 0.117
pwy148_pc5 2 2 0.146 0.323 0.194
pwy173_pc2 2 2 0.414 -0.324 0.391
pwy180_pc1 2 2 0.889 -0.028 0.821
pwy193_pc5 3 3 0.249 0.061 0.249
pwy213_pc3 2 2 0.019 -0.105 0.027
pwy23_pc4 3 3 0.01 0.087 0.006
pwy23_pc5 2 2 0.174 -0.113 0.274
pwy232_pc1 3 3 0.752 0.08 0.745
pwy243_pc5 2 2 0.464 -0.1 0.475
pwy252_pc1 2 2 0.129 0.147 0.209
pwy256_pc2 2 2 0.996 0.002 0.995
pwy263_pc2 3 3 0.248 0.124 0.221
pwy264_pc2 2 2 0.086 -0.089 0.149
pwy264_pc3 2 2 0.983 0.005 0.97
pwy277_pc4 2 2 0.441 -0.071 0.407
pwy297_pc2 2 2 0.179 0.122 0.287
pwy30_pc2 2 2 0.013 0.107 0.019
pwy306_pc4 2 2 0.015 -0.158 0.024
pwy314_pc2 3 3 0.519 -0.07 0.555
pwy315_pc4 2 2 0.552 -0.089 0.568
pwy316_pc5 2 2 0.078 0.065 0.111
pwy320_pc3 3 3 0.254 -0.061 0.265
pwy328_pc4 2 2 0.549 0.051 0.561
pwy45_pc1 2 2 0.931 -0.026 0.889
pwy48_pc4 2 2 0.34 0.251 0.421
pwy52_pc3 3 3 0.182 -0.102 0.162
pwy54_pc3 2 2 0.141 -0.171 0.125
pwy58_pc4 2 2 0.618 -0.087 0.555
pwy59_pc2 2 2 0.986 -0.002 0.972
pwy6_pc3 3 3 0.831 0.032 0.851
pwy60_pc3 2 2 0.1 -0.073 0.127
pwy65_pc1 4 4 0.056 -0.143 0.057
pwy65_pc3 2 2 0.028 0.205 0.04
pwy78_pc1 2 2 0.789 0.023 0.69
pwy78_pc4 2 2 0.014 0.11 0.016
pwy8_pc3 3 3 0.026 -0.156 0.053
pwy81_pc3 2 2 0.985 -0.005 0.98
pwy86_pc2 4 4 0.081 -0.142 0.083
pwy87_pc3 2 2 0.135 0.08 0.168
pwy87_pc5 3 3 0.188 -0.084 0.197
pwy94_pc2 2 2 0.419 0.087 0.391
pwy98_pc2 2 2 0.006 -0.163 0.006
pwy102_pc5 2 2 0.184 -0.142 0.185
pwy138_pc4 2 2 0.065 -0.139 0.039
pwy140_pc4 2 2 0.007 0.164 0.002
pwy149_pc3 2 2 0.146 -0.102 0.177
pwy162_pc2 3 3 0.119 -0.141 0.079
pwy175_pc2 2 2 0.073 0.138 0.1
pwy175_pc4 2 2 0.446 -0.09 0.433
pwy176_pc5 3 3 0.021 -0.163 0.018
pwy178_pc3 3 3 0.946 0.004 0.946
pwy184_pc3 4 4 0.091 -0.096 0.08
pwy184_pc5 2 2 0.069 0.18 0.052
pwy185_pc5 2 2 0.115 -0.126 0.076
pwy186_pc5 2 2 0.117 -0.118 0.078
pwy191_pc3 2 2 0.015 -0.095 0.03
pwy199_pc3 2 2 0.936 0.012 0.861
pwy221_pc3 2 2 0.064 -0.112 0.109
pwy237_pc4 2 2 0.999 0 0.997
pwy242_pc1 2 2 0.076 -0.235 0.166
pwy245_pc4 3 3 0.646 0.037 0.63
pwy261_pc2 2 2 0.092 0.082 0.058
pwy310_pc1 2 2 0.222 -0.284 0.351
pwy324_pc4 2 2 0.074 0.111 0.041
pwy40_pc1 2 2 0.052 0.172 0.053
pwy48_pc1 2 2 0.489 0.063 0.498
pwy52_pc1 2 2 0.206 0.215 0.205
pwy54_pc2 2 2 0.208 -0.229 0.321
pwy61_pc4 3 3 0.706 -0.032 0.705
pwy62_pc4 5 5 0.081 0.198 0.072
pwy62_pc5 4 4 0.007 -0.161 0.017
pwy72_pc5 2 2 0.387 -0.085 0.342
pwy81_pc4 2 2 0.883 0.029 0.884
pwy1_pc4 2 2 0.185 -0.366 0.396
pwy101_pc3 2 2 0.739 -0.107 0.561
pwy101_pc5 2 2 0.005 0.182 0.016
pwy115_pc4 2 2 0.683 -0.136 0.549
pwy126_pc4 3 3 0.168 -0.374 0.189
pwy13_pc2 2 2 0.133 0.292 0.305
pwy15_pc3 3 3 0.006 0.308 0.047
pwy16_pc3 2 2 0.082 -0.213 0.188
pwy168_pc2 4 4 0.734 0.145 0.748
pwy169_pc5 2 2 0.947 -0.024 0.823
pwy174_pc5 2 2 0.02 -0.236 0.014
pwy181_pc3 2 2 0.076 -0.364 0.25
pwy183_pc5 3 3 0.031 0.266 0.138
pwy2_pc3 2 2 0.401 -0.456 0.422
pwy200_pc3 2 2 0.067 -0.364 0.228
pwy203_pc1 2 2 0.069 -0.526 0.138
pwy203_pc4 2 2 0.058 0.162 0.153
pwy228_pc5 2 2 0.058 -0.36 0.143
pwy231_pc5 2 2 0.808 0.097 0.628
pwy234_pc3 2 2 0.069 0.252 0.178
