factor num_snp_fdr<0.2 num_snp_noMHC pval_in_fitting slope_in_fitting rsq_in_fitting pval_in_resampling
mpv_pwy21_pc3 2 2 0.255 -0.085 0.848 0.308
mpv_pwy23_pc5 2 2 0.101 0.475 0.975 0.198
mpv_pwy251_pc4 2 2 0.406 -0.268 0.646 0.481
mpv_pwy253_pc3 2 2 0.451 0.267 0.576 0.485
mpv_pwy259_pc2 2 2 0.37 -0.485 0.699 0.473
mpv_pwy272_pc1 2 2 0.447 0.138 0.583 0.438
mpv_pwy279_pc1 2 2 0.13 -0.136 0.959 0.124
mpv_pwy283_pc1 2 2 0.117 -0.128 0.967 0.131
mpv_pwy285_pc1 2 2 0.046 -0.156 0.995 0.042
mpv_pwy29_pc2 2 2 0.457 0.148 0.568 0.448
mpv_pwy50_pc2 5 5 0.495 -0.056 0.123 0.475
mpv_pwy62_pc3 2 1 0.23 0.152 0.875 0.37
mpv_pwy62_pc4 2 2 0.071 -0.112 0.988 0.113
mpv_pwy80_pc5 2 1 0.699 -0.044 0.208 0.611
myeloid_wbc_pwy166_pc3 2 2 0.854 0.035 0.052 0.654
myeloid_wbc_pwy214_pc5 2 2 0.752 0.029 0.144 0.6
myeloid_wbc_pwy216_pc1 2 2 0.177 -0.054 0.925 0.051
myeloid_wbc_pwy222_pc1 2 2 0.092 0.058 0.979 0.008
myeloid_wbc_pwy222_pc5 3 3 0.874 -0.016 0.016 0.914
myeloid_wbc_pwy228_pc2 2 2 0.607 -0.058 0.335 0.533
myeloid_wbc_pwy242_pc4 3 3 0.292 0.042 0.501 0.26
myeloid_wbc_pwy258_pc5 2 2 0.418 -0.023 0.628 0.408
myeloid_wbc_pwy266_pc2 2 2 0.113 -0.084 0.969 0.29
myeloid_wbc_pwy268_pc2 2 2 0.382 0.06 0.681 0.364
myeloid_wbc_pwy270_pc2 3 3 0.174 0.066 0.682 0.094
myeloid_wbc_pwy272_pc1 2 2 0.881 -0.022 0.035 0.695
