factor num_snp_fdr<0.2 num_snp_noMHC pval_in_fitting slope_in_fitting pval_in_resampling IVW_estimate IVW_pval IVW_resampling_pval
SCZ_pwy319_peer3 2 2 0.966 -0.167 0.881 -0.194691531218312 0.573160819413746 0.877
SCZ_pwy328_peer5 2 2 0.011 -2.427 0.043 -2.42897729684985 1.27361209313979e-54 0.003
SCZ_pwy330_peer5 2 2 0.143 -2.521 0.181 -2.1505293799655 6.74356714686804e-31 0.091
SCZ_pwy39_peer2 2 2 0.027 -2.291 0.124 -2.27752140355977 7.59320881708014e-15 0.444
SCZ_pwy42_peer3 4 4 0.473 0.67 0.426 0.117119035077135 0.885956116692301 0.887
SCZ_pwy42_peer4 2 2 0.055 -2.017 0.089 -1.9652120575926 4.79971169490516e-32 0.077
SCZ_pwy55_peer1 3 3 0.012 3.927 0.005 3.84804845400652 3.10231438700202e-47 0.025
SCZ_pwy67_peer4 3 3 0.631 -0.686 0.606 -0.55478242133634 0.00135481396015429 0.782
SCZ_pwy73_peer1 2 2 0.031 3.359 0.111 3.36007228429064 2.43081501252667e-18 0.454
SCZ_pwy73_peer4 2 2 0.012 1.157 0.042 1.15325362586486 5.99924150000785e-18 0.276
SCZ_pwy79_peer5 2 2 0.067 1.532 0.23 1.53027261890343 1.20014424447045e-19 0.37
SCZ_pwy84_peer2 2 2 0.07 1.175 0.163 1.15610689308116 4.33314345610409e-17 0.363
SCZ_pwy84_peer3 2 2 0.096 0.249 0.181 0.243665978907665 6.11289372895393e-17 0.371
SCZ_pwy84_peer4 2 2 0.098 -0.304 0.185 -0.296834250210212 6.34767851338474e-17 0.371
SCZ_pwy84_peer5 2 2 0.081 0.412 0.171 0.404841652830689 4.92219832379199e-17 0.369
SCZ_pwy85_peer2 2 2 0.098 0.334 0.183 0.327132434515917 6.29234377321392e-17 0.371
SCZ_pwy85_peer3 2 2 0.09 0.273 0.177 0.267562022765623 5.61518494269344e-17 0.373
SCZ_pwy85_peer5 2 2 0.089 0.34 0.177 0.333467793791919 5.49778599544825e-17 0.371
SCZ_pwy89_peer3 2 2 0.138 -0.948 0.217 -0.920663576880654 1.3148049987872e-16 0.388
SCZ_pwy99_peer5 2 2 0.065 -1.826 0.237 -1.8722440290733 2.69197964770346e-42 0.007
T1D_pwy106_peer1 2 2 0.027 -8.615 0.071 -8.6148437306585 3.48852855602374e-28 0.403
T1D_pwy124_peer4 2 2 0.051 4.965 0.136 4.964608781755 1.8926572212744e-21 0.543
T1D_pwy133_peer4 2 2 0.922 0.587 0.821 0.585211576873679 0.18786762155976 0.829
T1D_pwy141_peer2 3 2 0.774 -1.746 0.64 -0.648777379531007 0.250525046660457 0.797
T1D_pwy146_peer1 2 2 0.908 5.439 0.782 3.53264809306606 0.0595718919563045 0.764
T1D_pwy147_peer4 3 3 0.007 -4.027 0.046 -4.04824689587214 6.07433331043995e-35 0.362
T1D_pwy162_peer3 2 2 0.79 -2.201 0.641 -0.420104402392887 0.540316677686776 0.917
T1D_pwy203_peer2 2 2 0.055 -5.219 0.026 -4.82169155099183 1.74561762436266e-24 0.177
T1D_pwy224_peer3 2 2 0.554 -4.028 0.559 0.660177035637759 0.200342242186342 0.973
T1D_pwy225_peer4 2 2 0.061 -3.309 0.054 -2.9369377880061 2.66191829942957e-24 0.226
T1D_pwy22_peer5 2 2 0.995 -0.02 0.991 -0.148107258947866 0.559763269816023 0.941
T1D_pwy237_peer4 2 2 0.076 4.196 0.184 4.19615750595731 4.74188229549563e-18 0.589
T1D_pwy23_peer4 2 2 0.004 2.755 0.009 2.75452809905906 3.80362251193373e-22 0.529
T1D_pwy295_peer2 2 2 0.953 1.08 0.916 -2.92983209198619 0.0101840789011671 0.696
T1D_pwy332_peer3 2 2 0.673 3.999 0.565 4.33529831736484 5.33215095311272e-19 0.518
T1D_pwy56_peer1 2 2 0.186 -53.553 0.217 -47.9394423334341 1.6787471458075e-116 0.049
T1D_pwy67_peer2 2 2 0.914 0.417 0.824 -0.0101182766533773 0.978688135610299 0.995
T1D_pwy90_peer3 2 3 0.389 2.608 0.369 -1.18624570415274 0.000179741240411401 0.692
T1D_pwy94_peer5 2 2 0.136 2.302 0.309 2.30213983071065 4.66174645304845e-32 0.347
T2D_2_pwy127_peer3 3 3 0.283 6.173 0 12.2456393379462 0.0236414832033676 0
T2D_2_pwy156_peer5 2 2 0.509 1.325 NA 2.72550041161945 0.453254912629756 NA
T2D_2_pwy15_peer3 4 4 0.274 3.023 NA 8.32158275010845 0.0225422435122733 NA
T2D_2_pwy164_peer5 2 2 NaN 0 NA 0 NaN NA
T2D_2_pwy231_peer5 2 2 0.625 1.046 NA 3.39425502758628 0.0217837584104599 NA
T2D_2_pwy233_peer4 3 3 0.868 0.646 0.5 4.85581024425408 0.16234494280311 0.5
T2D_2_pwy248_peer2 3 3 0.894 -0.362 0.75 -2.70578847238642 0.202391926642704 0.5
T2D_2_pwy261_peer4 3 3 0.273 2.053 0 3.98219575710739 0.022951397892875 0
T2D_2_pwy274_peer2 2 2 0.852 -3.206 NA -9.76357401409792 0.141254001011067 NA
T2D_2_pwy287_peer4 2 2 0.567 -3.437 NA -8.67630276045056 0.0217837742170579 NA
T2D_2_pwy48_peer4 3 3 0.286 632127.46 0 1286930.19607563 0.0205390332020158 0
T2D_2_pwy57_peer5 3 3 0.495 0.906 0.25 3.55992001241825 0.453255047262758 0
T2D_2_pwy58_peer1 4 4 0.318 4.443 NA 13.8764077024236 0.0255263347091607 NA
