factor num_snp_fdr<0.2 num_snp_noMHC pval_in_fitting slope_in_fitting rsq_in_fitting pval_in_resampling
T2Dbmiadj_pwy235_pc2 2 2 0.912 0.041 0.019 0.769
T2Dbmiadj_pwy243_pc5 2 2 0.373 -0.084 0.695 0.328
T2Dbmiadj_pwy260_pc3 2 2 0.98 -0.006 0.001 0.943
T2Dbmiadj_pwy283_pc3 5 5 0.486 -0.086 0.128 0.491
T2Dbmiadj_pwy285_pc3 2 1 0.166 0.201 0.934 0.316
T2Dbmiadj_pwy287_pc3 3 2 0.009 0.175 0.982 0.037
T2Dbmiadj_pwy299_pc2 2 2 0.311 -0.485 0.78 0.455
T2Dbmiadj_pwy300_pc1 2 2 0.035 -0.534 0.997 0.097
T2Dbmiadj_pwy303_pc3 2 2 0.998 0.001 0 0.995
T2Dbmiadj_pwy304_pc3 3 3 0.468 -0.159 0.283 0.365
T2Dbmiadj_pwy313_pc3 2 2 0.89 0.092 0.03 0.766
T2Dbmiadj_pwy321_pc3 2 1 0.084 -0.284 0.983 0.227
T2Dbmiadj_pwy322_pc4 3 2 0.197 0.189 0.645 0.22
T2Dbmiadj_pwy74_pc5 2 2 0.2 0.448 0.904 0.389
T2Dbmiadj_pwy80_pc1 2 2 0.166 -0.546 0.934 0.349
T2Dunadj_pwy145_pc3 3 2 0.011 0.308 0.979 0.056
T2Dunadj_pwy151_pc5 2 2 0.991 -0.002 0 0.974
T2Dunadj_pwy153_pc4 2 2 0.156 0.173 0.941 0.37
T2Dunadj_pwy173_pc1 2 2 0.773 0.082 0.122 0.643
T2Dunadj_pwy179_pc5 2 2 0.107 -0.164 0.972 0.279
T2Dunadj_pwy208_pc3 2 2 0.279 0.415 0.82 0.486
T2Dunadj_pwy238_pc3 2 1 0.656 0.102 0.264 0.538
T2Dunadj_pwy247_pc3 2 2 0.759 -0.103 0.136 0.581
T2Dunadj_pwy275_pc1 2 2 0.104 -0.141 0.974 0.057
T2Dunadj_pwy279_pc1 3 3 0.682 -0.09 0.101 0.698
T2Dunadj_pwy287_pc3 4 3 0.001 0.15 0.983 0.003
T2Dunadj_pwy29_pc3 2 2 0.075 0.185 0.986 0.171
T2Dunadj_pwy300_pc1 2 2 0.014 -0.446 1 0.037
T2Dunadj_pwy301_pc3 2 2 0.83 -0.084 0.07 0.62
T2Dunadj_pwy303_pc3 2 2 0.991 0.004 0 0.973
T2Dunadj_pwy304_pc3 2 2 0.968 0.012 0.003 0.911
T2Dunadj_pwy321_pc3 2 1 0.031 -0.244 0.998 0.089
T2Dunadj_pwy322_pc4 3 2 0.246 0.146 0.569 0.235
T2Dunadj_pwy330_pc3 2 2 0.856 0.049 0.05 0.7
T2Dunadj_pwy34_pc4 2 2 0.566 0.157 0.398 0.551
T2Dunadj_pwy36_pc2 3 3 0.404 0.211 0.355 0.334
T2Dunadj_pwy3_pc2 3 3 0.618 0.149 0.146 0.587
T2Dunadj_pwy58_pc2 2 2 0.131 -0.237 0.958 0.248
T2Dunadj_pwy80_pc1 2 2 0.132 -0.506 0.957 0.319
TC_pwy109_pc4 2 2 0.786 -0.057 0.108 0.661
TC_pwy121_pc4 2 2 0.059 -0.087 0.991 0.139
TC_pwy149_pc3 3 2 0.783 -0.06 0.047 0.799
TC_pwy159_pc2 3 3 0.462 -0.265 0.289 0.344
TC_pwy176_pc5 2 1 0.887 0.022 0.031 0.769
TC_pwy177_pc5 2 2 0.214 0.133 0.892 0.35
TC_pwy191_pc5 2 2 0.202 -0.177 0.902 0.343
TC_pwy203_pc2 2 2 0.111 0.195 0.97 0.235
TC_pwy236_pc2 3 3 0.035 -0.356 0.931 0.098
TC_pwy241_pc5 2 2 0.329 0.139 0.755 0.4
TC_pwy243_pc5 2 2 0.783 0.075 0.111 0.645
TC_pwy244_pc2 2 2 0.946 -0.015 0.007 0.904
TC_pwy251_pc3 2 1 0.054 -0.216 0.993 0.097
TC_pwy284_pc4 3 2 0.557 0.079 0.197 0.518
TC_pwy296_pc1 2 2 0.872 -0.026 0.04 0.778
TC_pwy324_pc5 2 2 0.883 -0.019 0.033 0.783
TC_pwy327_pc2 2 2 0.1 -0.358 0.976 0.158
TC_pwy327_pc5 2 1 0.15 -0.181 0.946 0.287
TC_pwy3_pc4 3 3 0.016 -0.222 0.967 0.077
TC_pwy55_pc5 2 2 0.932 0.018 0.011 0.868
TC_pwy67_pc1 2 2 0.043 0.228 0.995 0.084
TC_pwy69_pc3 2 1 0.654 0.093 0.268 0.594
TG_pwy103_pc1 2 2 0.177 0.276 0.925 0.298
TG_pwy109_pc3 2 2 0.164 0.184 0.935 0.267
TG_pwy125_pc5 2 2 0.678 -0.055 0.235 0.637
TG_pwy13_pc2 3 2 0.001 -0.144 0.997 0
TG_pwy147_pc4 3 3 0.811 0.039 0.036 0.861
TG_pwy152_pc5 2 2 0.634 -0.053 0.296 0.637
TG_pwy15_pc2 2 2 0.993 0.001 0 0.979
TG_pwy15_pc3 2 2 0.686 -0.048 0.225 0.637
TG_pwy163_pc2 2 2 0.587 0.353 0.366 0.535
TG_pwy164_pc2 2 2 0.669 0.056 0.247 0.637
TG_pwy168_pc3 2 2 0.665 -0.046 0.253 0.637
TG_pwy16_pc4 2 2 0.693 -0.045 0.215 0.637
TG_pwy190_pc4 2 2 0.025 0.111 0.998 0.069
TG_pwy192_pc4 2 2 0.672 0.037 0.242 0.637
TG_pwy194_pc4 2 2 0.762 0.072 0.133 0.672
TG_pwy215_pc2 2 2 0.027 -0.12 0.998 0.064
TG_pwy229_pc4 2 2 0.939 -0.011 0.009 0.852
TG_pwy23_pc3 3 3 0.083 -0.276 0.841 0.139
TG_pwy241_pc5 3 3 0.825 0.034 0.031 0.857
TG_pwy255_pc4 2 2 0.67 0.041 0.245 0.637
TG_pwy258_pc4 2 2 0.119 -0.142 0.965 0.205
TG_pwy273_pc3 2 2 0.628 -0.146 0.305 0.517
TG_pwy309_pc3 2 2 0.907 -0.036 0.021 0.805
TG_pwy31_pc1 2 2 0.78 -0.066 0.115 0.676
TG_pwy320_pc3 3 1 0.351 -0.044 0.421 0.446
TG_pwy36_pc5 2 2 0.105 -0.133 0.973 0.076
TG_pwy44_pc5 3 3 0.76 -0.042 0.058 0.823
TG_pwy60_pc5 3 3 0.02 -0.207 0.961 0.077
TG_pwy64_pc3 2 2 0.103 0.154 0.974 0.196
TG_pwy65_pc4 2 2 0.04 0.179 0.996 0.091
TG_pwy74_pc2 2 2 0.485 -0.379 0.524 0.419
TG_pwy94_pc3 2 2 0.684 -0.032 0.227 0.637
WHR_pwy118_pc4 2 2 0.763 0.035 0.133 0.722
WHR_pwy139_pc4 2 2 0.214 0.174 0.891 0.512
WHR_pwy175_pc1 2 2 0.883 -0.04 0.033 0.608
WHR_pwy176_pc3 2 2 0.042 0.114 0.996 0.121
WHR_pwy235_pc2 2 2 0.881 -0.054 0.034 0.603
WHR_pwy25_pc2 2 2 0.892 -0.037 0.029 0.658
WHR_pwy285_pc3 2 2 0.037 -0.064 0.997 0.064
WHR_pwy287_pc3 3 3 0.002 -0.062 0.995 0.031
WHR_pwy70_pc3 2 2 0.226 -0.205 0.879 0.512
WHR_pwy82_pc5 2 2 0.875 -0.03 0.038 0.581
allergy_pwy115_pc1 2 2 0.97 -0.012 0.002 0.933
allergy_pwy146_pc5 2 2 0.668 -0.131 0.248 0.519
allergy_pwy148_pc5 2 2 0.091 -0.227 0.98 0.202
allergy_pwy158_pc1 2 2 0.006 0.225 1 0.01
allergy_pwy263_pc1 2 2 0.755 0.174 0.141 0.568
allergy_pwy278_pc5 2 2 0.938 0.017 0.009 0.857
allergy_pwy322_pc2 2 1 0.938 0.022 0.01 0.913
allergy_pwy326_pc1 2 2 0.043 -0.136 0.995 0.063
allergy_pwy59_pc4 2 2 0.763 -0.111 0.133 0.542
allergy_pwy77_pc5 2 2 0.008 -0.224 1 0.021
allergy_pwy91_pc2 2 2 0.991 -0.004 0 0.976
asthma_2_pwy107_pc5 3 3 0.58 1.432 0.177 0.609
asthma_2_pwy154_pc1 2 2 0.346 3.167 0.733 0.585
asthma_2_pwy163_pc5 2 2 0.019 3.879 0.999 0.132
asthma_2_pwy193_pc5 2 1 0.458 0.859 0.566 0.387
asthma_2_pwy204_pc5 2 2 0.112 -4.556 0.97 0.411
asthma_2_pwy238_pc5 2 1 0.448 -0.804 0.581 0.387
asthma_2_pwy246_pc3 2 2 0.895 0.589 0.027 0.848
asthma_2_pwy279_pc5 2 1 0.141 -3.997 0.952 0.387
asthma_2_pwy320_pc3 2 1 0.464 -0.765 0.557 0.387
asthma_2_pwy321_pc5 2 1 0.453 -0.861 0.574 0.387
asthma_2_pwy325_pc4 2 1 0.439 -0.847 0.595 0.387
asthma_2_pwy326_pc4 2 1 0.454 0.776 0.572 0.387
asthma_2_pwy327_pc2 2 2 0.96 -0.555 0.004 0.733
asthma_2_pwy330_pc2 2 2 0.998 -0.006 0 0.973
asthma_2_pwy331_pc4 2 2 0.969 -0.234 0.002 0.649
asthma_2_pwy69_pc5 2 1 0.972 -0.26 0.002 0.828
bmi_pwy118_pc2 3 3 0.502 -0.026 0.248 0.424
bmi_pwy119_pc2 3 3 0.487 -0.035 0.263 0.419
bmi_pwy121_pc3 2 2 0.064 -0.104 0.99 0.15
bmi_pwy133_pc4 2 2 0.041 0.117 0.996 0.071
bmi_pwy13_pc3 2 2 0.95 -0.008 0.006 0.854
bmi_pwy154_pc1 2 2 0.178 0.323 0.924 0.316
bmi_pwy155_pc2 2 2 0.036 0.159 0.997 0.095
bmi_pwy165_pc5 2 2 0.685 -0.022 0.225 0.561
bmi_pwy166_pc4 2 2 0.647 0.027 0.278 0.561
bmi_pwy179_pc1 2 2 0.041 -0.152 0.996 0.112
bmi_pwy181_pc3 2 2 0.983 -0.002 0.001 0.954
bmi_pwy187_pc3 2 2 0.958 -0.005 0.004 0.892
bmi_pwy187_pc4 2 2 0.888 -0.018 0.031 0.736
bmi_pwy203_pc1 2 2 0.052 -0.138 0.993 0.146
bmi_pwy214_pc4 2 2 0.099 -0.13 0.976 0.157
bmi_pwy329_pc1 2 2 0.091 0.15 0.98 0.226
bmi_pwy70_pc1 2 2 0.718 -0.061 0.184 0.664
bmi_pwy9_pc4 2 2 0.067 -0.147 0.989 0.165
eo_pwy107_pc3 2 2 0.692 0.088 0.217 0.614
eo_pwy110_pc3 2 2 0.867 -0.036 0.043 0.73
eo_pwy141_pc1 2 2 0.781 0.064 0.113 0.616
eo_pwy14_pc1 2 2 0.73 -0.057 0.169 0.635
eo_pwy14_pc3 2 2 0.041 -0.164 0.996 0.097
eo_pwy174_pc2 3 3 0.033 0.093 0.935 0.08
eo_pwy176_pc3 2 2 0.606 -0.085 0.337 0.545
eo_pwy185_pc3 2 2 0.733 0.058 0.166 0.586
eo_pwy190_pc3 2 2 0.098 -0.176 0.977 0.185
eo_pwy203_pc4 2 2 0.01 -0.08 1 0.023
eo_pwy215_pc4 2 2 0.182 -0.142 0.921 0.349
eo_pwy238_pc2 2 2 0.105 0.119 0.973 0.144
eo_pwy23_pc2 2 2 0.223 0.245 0.882 0.398
eo_pwy244_pc3 2 2 0.097 -0.191 0.977 0.195
eo_pwy251_pc2 2 2 0.08 0.12 0.984 0.161
eo_pwy25_pc2 2 2 0.942 -0.019 0.008 0.889
eo_pwy287_pc3 3 3 0.047 -0.092 0.907 0.132
eo_pwy292_pc3 5 5 0.001 0.092 0.951 0.002
eo_pwy299_pc5 2 2 0.577 0.044 0.38 0.573
eo_pwy30_pc3 2 2 0.762 -0.043 0.134 0.604
eo_pwy321_pc2 2 2 0.106 -0.123 0.973 0.145
eo_pwy326_pc2 3 3 0.021 0.103 0.959 0.048
eo_pwy330_pc3 2 2 0.71 0.074 0.193 0.576
eo_pwy331_pc2 2 2 0.093 -0.115 0.979 0.119
eo_pwy47_pc3 2 2 0.961 0.011 0.004 0.916
eo_pwy60_pc3 2 2 0.162 0.07 0.937 0.165
eo_pwy65_pc4 2 2 0.018 -0.21 0.999 0.042
eo_pwy88_pc2 2 2 0.965 -0.009 0.003 0.938
gran_pwy127_pc2 6 6 0.996 0 0 0.995
gran_pwy132_pc2 3 3 0.748 -0.05 0.063 0.767
gran_pwy163_pc1 3 3 0.614 0.057 0.149 0.587
gran_pwy186_pc1 2 2 0.912 -0.021 0.019 0.809
gran_pwy245_pc3 2 2 0.111 0.146 0.97 0.299
gran_pwy251_pc5 3 3 0.606 -0.066 0.156 0.575
gran_pwy25_pc1 2 2 0.026 -0.217 0.998 0.084
gran_pwy272_pc4 2 2 0.997 0.001 0 0.996
gran_pwy275_pc2 2 2 0.119 -0.208 0.966 0.178
gran_pwy275_pc3 2 2 0.904 0.017 0.022 0.724
gran_pwy28_pc4 2 2 0.075 -0.14 0.986 0.162
gran_pwy317_pc3 2 2 0.835 -0.045 0.066 0.637
gran_pwy320_pc1 2 2 0.951 0.008 0.006 0.91
gran_pwy321_pc5 2 1 0.718 0.033 0.184 0.65
gran_pwy322_pc1 3 3 0.668 -0.047 0.11 0.636
gran_pwy35_pc5 2 2 0.095 -0.301 0.978 0.03
gran_pwy55_pc1 2 2 0.009 -0.248 1 0.027
gran_pwy94_pc3 2 2 0.059 0.091 0.991 0.062
height_pwy126_pc5 3 3 0.036 0.058 0.93 0.09
height_pwy131_pc5 2 2 0.217 0.059 0.888 0.377
height_pwy13_pc4 2 2 0.284 0.09 0.814 0.453
