LVs	Heritability	SE	zscore	pval	rsq_min_l	lambda_min_l	ncoef_nzero_min_l	rsq_test_l	pval_test_l	rsq_1se_l	lambda_1se_l	ncoef_nzero_1se_l	rsq_min_e	lambda_min_e	ncoef_nzero_min_e	rsq_test_e	pval_test_e	rsq_1se_e	lambda_1se_e	ncoef_nzero_1se_e
48	0.156369	0.212911	0.734433636589937	0.231342246329619	0.999020272972835	9.49684630556343e-05	732	0.00334336034184231	0.506933249122563	0.966626755708	0.000582717682223395	478	0.996143193332733	0.000381627540100525	782	0.00226136662339652	0.585322365829315	0.936602725862894	0.00161399555247336	573
99	0.15924	0.230903	0.689640238541725	0.245210228104734	0.999087348923034	0.000584300395492426	721	0.00202200703983297	0.605915864899782	0.936819374595655	0.00520153025439753	437	0.720965062039507	0.0229401085001205	367	0.000244665669176309	0.857638190423396	0	0.0668716334781864	0
49	0.162037	0.157271	1.03030437906543	0.151433572031076	0.999045265250496	0.00253941098585083	725	0.00449078540568737	0.441695608518808	0.982655364310822	0.0112511687879373	543	0.99895465943234	0.00532065390293842	848	0.0024754462439889	0.568067101919058	0.982439488660215	0.0225023375758746	718
74	0.164747	0.185961	0.885922317044972	0.187829694653323	0.999063898825601	0.0013257595143922	716	0.000894280870720613	0.731595792627938	0.973148431845758	0.0074120697807454	525	0.999059893477617	0.0026515190287844	869	0.000990243179845994	0.718139337139425	0.972700031849353	0.0148241395614908	688
110	0.166727	0.239029	0.697517874400177	0.242739378621011	0.998457568154325	0.00102183748301717	653	0.00308413360546508	0.523907834939262	0.960668358879282	0.00545323930153063	452	0.999028742362541	0.00161957746072705	842	0.00289090479963592	0.537224763568022	0.952441682855086	0.011969846801699	588
100	0.171378	0.262	0.654114503816794	0.2565190189427	0.99230232805647	0.00352721002497054	591	0.00221283855963829	0.589380347692877	0.941468632066725	0.0102820043762729	404	0.997413529670167	0.00403679851702406	770	0.00583068069891338	0.380531074658989	0.961384815477503	0.0162966252615229	572
68	0.180936	0.162859	1.11099785704198	0.133284635857796	0.999053777622362	0.000949917283967358	700	0.0426856590723274	0.016614849886299	0.929171975622293	0.00885896036447983	424	0.999055082615987	0.00189983456793472	803	0.0515569228606061	0.00833090468381614	0.934256664285285	0.0169126138878179	549
3	0.192216	0.227165	0.846151475799529	0.19873412378744	0.999038472261834	0.00218213830448929	706	0.00299312452748085	0.530105497455666	0.978720710625767	0.0106108691517014	527	0.999030948030542	0.00436427660897859	828	0.00341561182390819	0.502370329618705	0.980277478691618	0.0202571775460721	655
80	0.194596	0.226814	0.857954094544429	0.195458906099718	0.999068879515502	0.00110764772248283	678	0.000940559880384143	0.72501009243988	0.967730377113354	0.00679642370527893	453	0.999058048999207	0.00221529544496567	828	0.000703154923535493	0.761025058833371	0.96704191005007	0.0135928474105579	622
38	0.195027	0.244183	0.798691964633083	0.2122345236008	0.999027291130395	0.000993310972315665	715	0.0448986940294288	0.0139776752798807	0.989652359101885	0.0033291836842699	562	0.999019486339874	0.00198662194463133	840	0.0441859670427744	0.0147769847419291	0.988482422985847	0.00697541054284077	693
12	0.2011	0.182079	1.10446564403363	0.134695599407348	0.999057222007986	0.00195209501854822	692	0.0200022677907196	0.103095239147596	0.99412305402158	0.00494927239459481	599	0.999054257056666	0.00390419003709644	826	0.0200325637528033	0.102832061704279	0.99407602175372	0.00989854478918962	754
22	0.209226	0.194892	1.07354842682101	0.141512561484893	0.999052884529273	0.00170717203173758	726	0.000159602930404282	0.88480725579361	0.973105467663333	0.00954447476303951	492	0.999055011592494	0.00341434406347517	858	5.69579189278889e-05	0.931032281141508	0.970088529033649	0.0199978842268608	644
46	0.217109	0.320489	0.677430426629307	0.249066449402212	0.999070753642537	0.00130416820831997	692	0.0209392360554359	0.0952823286725178	0.981334526148461	0.00605341258423658	512	0.998767424755808	0.00299895304099267	842	0.0135887924158882	0.179809336172598	0.979291681119458	0.0126833007622134	662
108	0.229721	0.216296	1.06206772201058	0.144102471102872	0.999017026666785	0.0029613493690685	701	0.0233454601064409	0.0779863139500496	0.974163684182073	0.0158038308765935	507	0.99901310527688	0.00592269873813701	826	0.0292296164216213	0.0482558389013388	0.978167376238418	0.0287997241998954	674
106	0.232087	0.210345	1.10336352183318	0.134934665642467	0.999042936504006	0.000801791433758233	705	0.011180319418857	0.224008034302831	0.949918225874759	0.00620797987060478	425	0.999041729731811	0.00160358286751647	883	0.0133891950835439	0.183061517954188	0.944356342341746	0.0130071550103299	582
23	0.23383	0.201742	1.15905463413667	0.123216958024855	0.996197204027774	0.0029354131607726	580	0.0113683087930742	0.220131879964467	0.925299036129339	0.0142737446526929	342	0.994529647127701	0.00707143108732024	747	0.00821635791740844	0.297598430037201	0.925165318080098	0.0285474893053858	484
65	0.234712	0.273861	0.857047918469588	0.195709201319402	0.999071605868348	0.00334749254331664	704	0.00162892131805545	0.643356267831911	0.98804830441783	0.0123133488427467	560	0.999067794903137	0.00669498508663328	833	0.00302559511304954	0.527879370538247	0.986728107164185	0.025799316433394	691
126	0.239419	0.226537	1.05686488299925	0.145286628686844	0.99867659761974	0.000811799454763485	670	0.0430918180717827	0.0160954807255033	0.93326384588867	0.00628546834245584	388	0.998687253546107	0.00162359890952697	791	0.0476272886903137	0.0113020852658987	0.932560569184469	0.0125709366849117	509
97	0.244769	0.201973	1.21188970803028	0.112777301173407	0.999001228863283	0.00119227072871871	696	0.00154666544112133	0.651874093636946	0.987341703097335	0.00438562452574243	539	0.999084164365806	0.00227616036814166	825	0.00183800671475503	0.622821258869367	0.985922899822215	0.00918889867757887	664
60	0.246888	0.224052	1.10192276792887	0.135247624686802	0.0427713750191913	0.0300034080852713	12	0.0247138627882103	0.0696709597658636	0	0.0361392112522757	0	0.0969594501222646	0.0546759760124044	41	0.0148311368311838	0.160987560743262	0	0.0722784225045514	0
53	0.250216	0.352314	0.710207371833081	0.238787775053993	0.996226431508081	0.00275540127641181	599	0.00681282964270457	0.343060394105215	0.972227660272898	0.00766706772122578	480	0.994974158453558	0.00633608378454117	730	0.00541606648840292	0.398067952537196	0.969000935695858	0.0160642818442266	633
67	0.250255	0.180594	1.38573263785065	0.082914279121449	0.999065111096067	0.0026490495174839	706	0.00126412888359376	0.68338582507734	0.993616393246838	0.00703610805340858	608	0.999059706883505	0.0052980990349678	868	0.00222420159309325	0.588425044870624	0.99292151576873	0.0147422752695234	748
41	0.256417	0.316487	0.810197575255856	0.208913315431559	0.999051084226929	0.000987990867513856	729	0.00836406920932865	0.2932781352296	0.987265291050164	0.00380725105350629	531	0.999057255699128	0.00197598173502771	859	0.00623401629719608	0.364494959817984	0.985966656565198	0.00797707235661089	682
43	0.256563	0.318769	0.804855553708171	0.210451519621048	0.999040415018717	0.00159992452579066	692	0.00217274571417084	0.592776440704182	0.991700720279019	0.00488593832172341	558	0.999046217324596	0.00319984905158131	802	0.00184606624999542	0.622059199786319	0.991629252887855	0.00977187664344682	699
73	0.257304	0.229766	1.11985237154322	0.131388338712537	0.999081945674857	0.00140762634146822	708	0.00620133619540975	0.365759046697401	0.992467046781951	0.00410330547392174	590	0.99907382255657	0.00281525268293643	883	0.00390569113598252	0.473150717074787	0.990865990244309	0.00900674538335964	758
