factor num_snp_fdr<0.2 num_snp_noMHC pval_in_fitting slope_in_fitting pval_in_resampling IVW_estimate IVW_pval IVW_resampling_pval
pwy209_peer5 4 4 0.671 -0.043 0.69 -0.00155478059435848 0.987901392185665 0.987
pwy225_peer5 2 2 0.17 -0.232 0.329 -0.238774598005797 4.01736833963103e-47 0.252
pwy235_peer5 4 4 0.902 -0.021 0.878 -0.0302032538492479 0.842813413029431 0.817
pwy238_peer3 2 2 0.066 -0.152 0.136 -0.150187825595333 3.03281458877735e-24 0.43
pwy257_peer3 2 2 0.001 -0.122 0 -0.122379789585721 6.58999524763519e-18 0.368
pwy258_peer2 3 3 0.708 -0.14 0.725 -0.0786037912528588 0.0666906231305076 0.911
pwy258_peer4 2 2 0.026 0.12 0.066 0.119484471539422 2.52134491567526e-17 0.153
pwy277_peer3 2 2 0.927 0.017 0.841 0.0297777221822273 0.0390896506159225 0.75
pwy28_peer4 2 2 0.674 0.065 0.669 -0.0230654726840477 0.125399967887486 0.843
pwy284_peer3 2 2 0.158 0.208 0.278 0.218232177261189 2.17226182476715e-52 0.177
pwy29_peer3 4 4 0.886 0.012 0.878 -0.0136173172202973 0.859400548455274 0.832
