factor num_snp_fdr<0.2 num_snp_noMHC pval_in_fitting slope_in_fitting rsq_in_fitting pval_in_resampling
TC_pwy824_pc1 2 2 0.177 -0.242 0.925 0.17
TC_pwy834_pc3 2 2 0.523 0.35 0.464 0.514
TC_pwy845_pc5 2 2 0.004 0.09 1 0.012
TC_pwy856_pc3 3 3 0.216 0.094 0.615 0.234
TC_pwy859_pc5 2 2 0.02 0.102 0.999 0.042
TC_pwy919_pc2 3 2 0.003 -0.084 0.994 0.012
TC_pwy945_pc4 2 2 0.121 -0.078 0.964 0.233
TC_pwy949_pc4 2 2 0.945 -0.008 0.007 0.891
TC_pwy952_pc2 2 1 0.816 0.024 0.081 0.687
TC_pwy963_pc3 2 1 0.015 0.136 0.999 0.035
TC_pwy972_pc2 2 1 0.808 -0.019 0.088 0.679
TC_pwy989_pc5 2 2 0.006 -0.087 1 0.017
TC_pwy98_pc5 2 2 0.974 0.002 0.002 0.948
TC_pwy995_pc5 2 2 0.092 -0.084 0.979 0.123
TG_pwy101_pc5 2 0 0.205 -0.049 0.9 0.231
TG_pwy1041_pc3 2 2 0.053 0.082 0.993 0.102
TG_pwy1057_pc4 2 2 0.738 0.072 0.16 0.722
TG_pwy1066_pc3 2 2 0.689 0.061 0.22 0.581
TG_pwy106_pc2 2 1 0.427 0.037 0.613 0.5
TG_pwy114_pc3 3 3 0.049 0.229 0.905 0.11
TG_pwy1156_pc2 2 2 0.772 0.042 0.123 0.723
TG_pwy1215_pc4 2 2 0.566 -0.079 0.397 0.591
TG_pwy1262_pc5 2 1 0.572 -0.066 0.387 0.619
TG_pwy145_pc2 2 1 0.417 -0.08 0.628 0.485
TG_pwy156_pc1 2 1 0.004 0.06 1 0.003
TG_pwy189_pc3 2 2 0.791 0.058 0.104 0.695
TG_pwy207_pc2 4 4 0.992 0 0 0.993
TG_pwy262_pc3 2 2 0.034 0.076 0.997 0.051
TG_pwy271_pc2 2 2 0.096 0.133 0.977 0.103
TG_pwy272_pc2 2 2 0.105 0.135 0.973 0.111
TG_pwy339_pc5 2 2 0.189 0.368 0.914 0.268
TG_pwy399_pc5 2 1 0.723 0.035 0.178 0.661
TG_pwy448_pc3 2 2 0.715 0.053 0.188 0.618
TG_pwy452_pc2 2 1 0.396 0.022 0.661 0.458
TG_pwy468_pc1 2 2 0.587 -0.084 0.365 0.643
TG_pwy47_pc5 3 0 0.012 -0.146 0.977 0.036
